"001-time","002-E-El","003-E-Mag","004-E-phi","005-E-psi","006-E-pot"
0.0000000000000000E+000,0.1268312863128746E-016,0.1268312863167917E-016,0.0000000000000000E+000,0.0000000000000000E+000,0.2536625726296663E-016
0.1875074967140540E-011,0.6754315537076417E-009,0.3160697689282628E-011,0.1092358178295557E-015,0.3337929014183597E-007,0.3405788250246871E-007
0.3750149934281080E-011,0.7532638901633916E-008,0.5233731155475660E-010,0.5332006630194074E-014,0.1211769646772234E-006,0.1287619462224187E-006
0.5625224901421621E-011,0.2885816569015980E-007,0.2005211924714062E-009,0.8309318862529000E-013,0.2475329656399157E-006,0.2765917356157355E-006
0.7500299868562161E-011,0.7230220234251053E-007,0.4318965544181159E-009,0.3642463527079523E-012,0.3986465123136812E-006,0.4713809754569625E-006
0.9375374835702700E-011,0.1436124147472367E-006,0.6655928699366293E-009,0.9013064600329093E-012,0.5626305709760843E-006,0.7069094798997177E-006
0.9999999999999999E-011,0.1741886621040293E-006,0.7258222590904254E-009,0.1134513028353599E-011,0.6178413652466899E-006,0.7927569841228380E-006
