001-TIME,002-NumDens-Spe001,003-NumDens-Spe002,004-NumDens-Spe003,005-NumDens-Spe004,006-NumDens-Spe005,007-NumDens-Spe006,008-TempTra-001,009-TempTra-002,010-TempTra-003,011-TempTra-004,012-TempTra-005,013-TempTra-006,014-TempVib001,015-TempVib002,016-TempVib003,017-TempVib004,018-TempVib005,019-XiVibMean001,020-XiVibMean002,021-XiVibMean003,022-XiVibMean004,023-XiVibMean005,024-TempRot001,025-TempRot002,026-TempRot003,027-TempRot004,028-TempRot005,029-TempTotal001,030-TempTotal002,031-TempTotal003,032-TempTotal004,033-TempTotal005,034-TempTotal006
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,1.93553694480606E+023,5.14528194062896E+022,0.00000000000000E+000,2.45006513886895E+023,0.00000000000000E+000,0.00000000000000E+000,3.00793987717752E+004,2.96144940204329E+004,0.00000000000000E+000,2.99817660197620E+004,0.00000000000000E+000,0.00000000000000E+000,2.96446452581148E+004,2.97769121171040E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,1.88771739608870E+000,1.92464329725261E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,2.98996825890104E+004,2.96301612221258E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,2.99080612925477E+004,2.96641617491133E+004,0.00000000000000E+000,2.98568409434945E+004
2.00000000000000E-010,2.30236351428923E+020,9.81007062610192E+020,1.93438576304891E+023,5.09623158749845E+022,0.00000000000000E+000,2.45612135593915E+023,2.38401293156852E+004,3.04458934648506E+004,3.00408640736518E+004,2.95925903729921E+004,0.00000000000000E+000,2.99436564836146E+004,0.00000000000000E+000,0.00000000000000E+000,2.96679950537786E+004,2.96410320352895E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,1.88780405039268E+000,1.92430231818178E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,2.98482790504293E+004,2.94740303706137E+004,0.00000000000000E+000,2.38401293156852E+004,3.04458934648506E+004,2.98827478316014E+004,2.95718079757066E+004,0.00000000000000E+000,2.98148155378221E+004
4.00000000000000E-010,3.70380217516093E+020,1.91196274447497E+021,1.93368504371848E+023,5.04968380340522E+022,0.00000000000000E+000,2.46147685367891E+023,2.74555330859691E+004,2.80680282208478E+004,2.99938509294075E+004,2.95693350077252E+004,0.00000000000000E+000,2.98879837721058E+004,0.00000000000000E+000,0.00000000000000E+000,2.96471154451514E+004,2.96813684332063E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,1.88772656962094E+000,1.92440386037421E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,2.98609591386653E+004,2.93202121001582E+004,0.00000000000000E+000,2.74555330859691E+004,2.80680282208478E+004,2.98602327669496E+004,2.95285158607854E+004,0.00000000000000E+000,2.97746421331568E+004
6.00000000000000E-010,5.15529221677805E+020,2.96804687820328E+021,1.93293427300730E+023,4.99662933981507E+022,5.00513807454179E+018,2.46748301936836E+023,2.85214754514311E+004,2.89892282836771E+004,2.99511552857361E+004,2.93577070856354E+004,0.00000000000000E+000,2.98158173626130E+004,0.00000000000000E+000,0.00000000000000E+000,2.96781393919327E+004,2.96118893799376E+004,2.05105327381797E+004,0.00000000000000E+000,0.00000000000000E+000,1.88784165578012E+000,1.92422878505940E+000,1.86943949674332E+000,0.00000000000000E+000,0.00000000000000E+000,2.98007977679524E+004,2.94015331379726E+004,5.25265152401878E+004,2.85214754514311E+004,2.89892282836771E+004,2.98326673974591E+004,2.94410025702196E+004,2.08745168435296E+004,2.97402890472735E+004
8.00000000000000E-010,7.25745020808560E+020,3.90901283621714E+021,1.93183314263090E+023,4.94908052810693E+022,1.50154142236254E+019,2.47323892815408E+023,2.94411392365477E+004,2.95943570668110E+004,2.99181407220195E+004,2.93527253505987E+004,2.71172550010618E+004,2.97983109146798E+004,0.00000000000000E+000,0.00000000000000E+000,2.96372686594057E+004,2.95348145993597E+004,2.05105327381797E+004,0.00000000000000E+000,0.00000000000000E+000,1.88768999269681E+000,1.92403361877962E+000,1.86943949674332E+000,0.00000000000000E+000,0.00000000000000E+000,2.97513251473665E+004,2.93223011721182E+004,2.88988663932434E+004,2.94411392365477E+004,2.95943570668110E+004,2.97927241408368E+004,2.93945358753900E+004,2.58380174792745E+004,2.97086375624449E+004
1.00000000000000E-009,9.55981372237483E+020,5.14027680255442E+021,1.93068196087375E+023,4.88751732979006E+022,1.50154142236254E+019,2.48054642974291E+023,2.86367519768083E+004,2.88729957214178E+004,2.98255240715941E+004,2.93383050586245E+004,2.71172550010618E+004,2.97050414131076E+004,0.00000000000000E+000,0.00000000000000E+000,2.97142020157192E+004,2.94699994234608E+004,2.05105327381797E+004,0.00000000000000E+000,0.00000000000000E+000,1.88797513730629E+000,1.92386871608761E+000,1.86943949674332E+000,0.00000000000000E+000,0.00000000000000E+000,2.96687959591485E+004,2.93082704643405E+004,2.88988663932434E+004,2.86367519768083E+004,2.88729957214178E+004,2.97495032544195E+004,2.93662220350941E+004,2.58380174792745E+004,2.96512953388736E+004
1.20000000000000E-009,1.01604302913198E+021,6.33149966429537E+021,1.93028154982779E+023,4.82695515908811E+022,3.50359665217926E+019,2.48680285233609E+023,2.86488503610051E+004,2.89706283152839E+004,2.97596292740443E+004,2.92320060506608E+004,5.73793472200044E+004,2.96364807448531E+004,0.00000000000000E+000,0.00000000000000E+000,2.98015029304215E+004,2.94922129109855E+004,2.09023606792952E+004,0.00000000000000E+000,0.00000000000000E+000,1.88829696003029E+000,1.92392531217716E+000,1.87183232009149E+000,0.00000000000000E+000,0.00000000000000E+000,2.95768781461610E+004,2.92050603603683E+004,3.22758305920694E+004,2.86488503610051E+004,2.89706283152839E+004,2.97180468104272E+004,2.92965254040990E+004,4.01370994346664E+004,2.96142981871033E+004
1.40000000000000E-009,1.20623827596457E+021,7.23242451771289E+021,1.92933057359363E+023,4.78190891641723E+022,3.50359665217926E+019,2.49225845283734E+023,2.84840515907102E+004,2.95571224737320E+004,2.97185366401227E+004,2.91845834812080E+004,5.70006899465647E+004,2.96092630775555E+004,0.00000000000000E+000,0.00000000000000E+000,2.97433882732237E+004,2.93216638010649E+004,4.12624806804298E+004,0.00000000000000E+000,0.00000000000000E+000,1.88808293446916E+000,1.92348861369476E+000,1.93435915210772E+000,0.00000000000000E+000,0.00000000000000E+000,2.95928819428820E+004,2.91148921697456E+004,3.03068636019016E+004,2.84840515907102E+004,2.95571224737320E+004,2.96888640226362E+004,2.92025353864420E+004,4.49114687247911E+004,2.95880375798611E+004
1.60000000000000E-009,1.38141810857354E+021,8.29851892759030E+021,1.92832954597872E+023,4.72735291140472E+022,6.00616568945015E+019,2.49846482404977E+023,2.86867642676164E+004,2.94984554167954E+004,2.97242860979045E+004,2.91822092795121E+004,3.98847236388649E+004,2.96109247133606E+004,0.00000000000000E+000,0.00000000000000E+000,2.96674280502538E+004,2.92375017245207E+004,3.07912018951504E+004,0.00000000000000E+000,0.00000000000000E+000,1.88780194774853E+000,1.92327126055668E+000,1.91237094935467E+000,0.00000000000000E+000,0.00000000000000E+000,2.95174045386992E+004,2.91091889663655E+004,3.08814249327492E+004,2.86867642676164E+004,2.94984554167954E+004,2.96486306340187E+004,2.91764752479556E+004,3.47639359262870E+004,2.95502174446853E+004
1.80000000000000E-009,1.60164418385337E+021,9.35960819939316E+021,1.92712831284083E+023,4.67329742019967E+022,8.00822091926687E+019,2.50487140078519E+023,2.79422947108478E+004,2.91348730966301E+004,2.96844662563647E+004,2.91686905296689E+004,3.57096095983991E+004,2.95584895595267E+004,0.00000000000000E+000,0.00000000000000E+000,2.96564931431577E+004,2.91388725030794E+004,2.11962177785985E+004,0.00000000000000E+000,0.00000000000000E+000,1.88776138193528E+000,1.92301496868420E+000,1.87357010646009E+000,0.00000000000000E+000,0.00000000000000E+000,2.94909522667653E+004,2.90366784859245E+004,3.31791891759074E+004,2.79422947108478E+004,2.91348730966301E+004,2.96206088551491E+004,2.91222707832996E+004,3.10173321643490E+004,2.94992001232121E+004
