016-NumDens-Spec-007
0.0000000000000000E+000
0.9999999999999994E+008
0.3999999999999998E+009
0.1699999999999999E+010
0.6199999999999996E+010
0.1799999999999999E+011
0.4319999999999997E+011
0.8659999999999994E+011
0.1465999999999999E+012
0.2133999999999998E+012
0.2729999999999998E+012
0.3157999999999998E+012
0.3405999999999998E+012
0.3519999999999998E+012
0.3562999999999998E+012
0.3575999999999998E+012
0.3578999999999998E+012
0.3579999999999998E+012
0.3579999999999998E+012
0.3579999999999998E+012
0.3579999999999998E+012
