001-TIME,002-nPart-Spec-001,003-TempTra-001
0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000
2.00000000000000E-001,4.02900000000000E+003,3.06258549999630E+002
4.00000000000000E-001,3.98700000000000E+003,2.96310088810491E+002
6.00000000000000E-001,3.95700000000000E+003,3.05210456840384E+002
