"Nbr. of electrons (analytical)"
1.5945466E+08
1.0516728E+09
5.6242921E+09
2.4457762E+10
8.6804633E+10
2.5270990E+11
6.0760715E+11
1.2179456E+12
2.0618348E+12
2.9999568E+12
3.8384443E+12
4.4409940E+12
4.7891190E+12
4.9508162E+12
5.0111924E+12
5.0293137E+12
5.0336852E+12
5.0345327E+12
5.0346647E+12
5.0346812E+12
5.0346829E+12
