  TIME     ,002-W-El      ,003 -W-Mag                  
    0.44286689263348E-008,    0.45582707498750E+012,    0.44372744678967E+012 
    0.44405763965108E-008,    0.47714775576898E+012,    0.43534759324170E+012 
    0.44524838666868E-008,    0.49973335684282E+012,    0.42678822295019E+012 
    0.44643913368627E-008,    0.52341961169946E+012,    0.41811319501752E+012 
    0.44762988070387E-008,    0.54803416471134E+012,    0.40938718999710E+012 
    0.44882062772147E-008,    0.57339783817490E+012,    0.40067523118524E+012 
    0.45001137473906E-008,    0.59932594890276E+012,    0.39204220409226E+012 
    0.45120212175666E-008,    0.62562966465316E+012,    0.38355237771545E+012 
    0.45239286877426E-008,    0.65211739041461E+012,    0.37526893119924E+012 
    0.45358361579185E-008,    0.67859617436808E+012,    0.36725348940124E+012 
    0.45477436280945E-008,    0.70487312322904E+012,    0.35956567078825E+012 
    0.45596510982705E-008,    0.73075681662614E+012,    0.35226265096608E+012 
    0.45715585684464E-008,    0.75605871020276E+012,    0.34539874500156E+012 
    0.45834660386224E-008,    0.78059451723003E+012,    0.33902501152876E+012 
    0.45953735087984E-008,    0.80418555869453E+012,    0.33318888144398E+012 
    0.46072809789743E-008,    0.82666007206844E+012,    0.32793381379009E+012 
    0.46191884491503E-008,    0.84785446928220E+012,    0.32329898121102E+012 
    0.46310959193263E-008,    0.86761453479668E+012,    0.31931898712499E+012 
    0.46430033895022E-008,    0.88579655511134E+012,    0.31602361652226E+012 
    0.46549108596782E-008,    0.90226837154242E+012,    0.31343762204236E+012 
    0.46668183298542E-008,    0.91691034865849E+012,    0.31158054672840E+012 
    0.46787258000301E-008,    0.92961625136450E+012,    0.31046658459505E+012 
    0.46906332702061E-008,    0.94029402427770E+012,    0.31010447988256E+012 
    0.47025407403821E-008,    0.94886646773303E+012,    0.31049746560496E+012 
    0.47144482105580E-008,    0.95527180548939E+012,    0.31164324173577E+012 
    0.47263556807340E-008,    0.95946413997579E+012,    0.31353399311237E+012 
    0.47382631509100E-008,    0.96141379171373E+012,    0.31615644687967E+012 
    0.47501706210859E-008,    0.96110752037379E+012,    0.31949196903763E+012 
    0.47620780912619E-008,    0.95854862576618E+012,    0.32351669940454E+012 
    0.47739855614379E-008,    0.95375692792042E+012,    0.32820172406068E+012 
    0.47858930316138E-008,    0.94676862627483E+012,    0.33351328409513E+012 
    0.47978005017898E-008,    0.93763603886455E+012,    0.33941301924242E+012 
    0.48097079719658E-008,    0.92642722326390E+012,    0.34585824476698E+012 
    0.48216154421417E-008,    0.91322548189744E+012,    0.35280225973092E+012 
    0.48335229123177E-008,    0.89812875517961E+012,    0.36019468456768E+012 
    0.48454303824937E-008,    0.88124890676874E+012,    0.36798182567872E+012 
    0.48573378526696E-008,    0.86271090602163E+012,    0.37610706457611E+012 
    0.48692453228456E-008,    0.84265191350408E+012,    0.38451126891001E+012 
    0.48811527930216E-008,    0.82122027614432E+012,    0.39313322254899E+012 
    0.48930602631975E-008,    0.79857443930493E+012,    0.40191007172369E+012 
    0.49049677333735E-008,    0.77488178368812E+012,    0.41077778410276E+012 
    0.49168752035495E-008,    0.75031739557445E+012,    0.41967161754538E+012 
    0.49287826737254E-008,    0.72506277941952E+012,    0.42852659516896E+012 
    0.49406901439014E-008,    0.69930452229418E+012,    0.43727798328645E+012 
    0.49525976140774E-008,    0.67323292004369E+012,    0.44586176870527E+012 
    0.49645050842534E-008,    0.64704057535901E+012,    0.45421513184299E+012 
    0.49764125544293E-008,    0.62092097819323E+012,    0.46227691210353E+012 
    0.49883200246053E-008,    0.59506707911617E+012,    0.46998806197447E+012 
    0.50000000000000E-008,    0.57014977672707E+012,    0.47715669088218E+012 
