"001-time","PartNum","PartPosX","PartPosY","PartPosZ","PartVelX","PartVelY","PartVelZ","Element"
0.0000000000000000E+000,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4990000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.1000000000000000E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4980000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.2000000000000000E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4970000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.3000000000000000E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4960000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.4000000000000000E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4950000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.5000000000000000E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4940000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.6000000000000001E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4930000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.7000000000000001E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4920000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.8000000000000001E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4910000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.9000000000000002E-003,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4900000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.1000000000000000E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4890000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.1100000000000000E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4880000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
0.1200000000000000E-002,0.1000000000000000E+001,0.2500000000000000E+000,0.2500000000000000E+000,0.4870000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,-.1000000000000000E+002,0.2100000000000000E+002
