001-TIME,002-NumDens-Spec-001     ,003-NumDens-Spec-002     ,004-NumDens-Spec-003     ,005-NumDens-Spec-004     ,006-NumDens-Spec-005     ,007-NumDens-Spec-006     ,008-NumDens-Spec-007     ,009-NumDens-Spec-008     ,010-NumDens-Spec-009     ,011-NumDens-Spec-010     ,012-NumDens-Spec-011     ,013-NumDens-Spec-012     ,014-NumDens-Spec-013     ,015-NumDens-Spec-014     ,016-NumDens-Spec-015     ,017-NumDens-Spec-016     ,018-NumDens-Spec-017     ,019-NumDens-Spec-018     ,020-NumDens-Spec-019      
    0.00000000000000E+000,    4.99998278232502E+021,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    4.99998278232502E+021,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    9.99996556465003E+021 
    9.99999999999999E-008,    4.99928206299458E+021,    4.00411045963344E+017,    1.00102761490836E+017,    2.00205522981672E+017,    4.91784846652179E+021,    0.00000000000000E+000,    4.00411045963344E+017,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.64168528844971E+020,    0.00000000000000E+000,    4.00411045963344E+017,    5.00513807454180E+016,    5.00513807454180E+016,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.00829007025452E+022 
    1.99999999999999E-007,    4.99858134366414E+021,    6.50667949690433E+017,    2.50256903727090E+017,    4.50462426708762E+017,    4.83115947507072E+021,    0.00000000000000E+000,    9.50976234162941E+017,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    3.36945895178154E+020,    5.00513807454180E+016,    8.00822091926687E+017,    3.50359665217926E+017,    3.50359665217926E+017,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.01705406702304E+022 
    3.00000000000001E-007,    4.99743016190700E+021,    9.00924853417523E+017,    7.00719330435851E+017,    8.50873472672105E+017,    4.74206801734388E+021,    0.00000000000000E+000,    2.15220937205297E+018,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    5.14828502347369E+020,    1.00102761490836E+017,    9.50976234162941E+017,    5.00513807454180E+017,    5.00513807454180E+017,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.02609835152374E+022 
    4.00000000000003E-007,    4.99467733596600E+021,    1.60164418385337E+018,    7.50770711181269E+017,    2.65272317950715E+018,    4.64997347677231E+021,    0.00000000000000E+000,    5.10524083603263E+018,    0.00000000000000E+000,    1.00102761490836E+017,    0.00000000000000E+000,    6.97315836545163E+020,    3.00308284472508E+017,    1.95200384907130E+018,    1.30133589938087E+018,    1.30133589938087E+018,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    1.03570321148878E+022 
    5.00000000000004E-007,    4.99187445864426E+021,    2.00205522981672E+018,    7.00719330435851E+017,    4.85498393230554E+018,    4.55152241084607E+021,    0.00000000000000E+000,    8.80904301119356E+018,    1.00102761490836E+017,    2.50256903727090E+017,    0.00000000000000E+000,    8.89813446892040E+020,    4.50462426708762E+017,    2.30236351428923E+018,    3.50359665217926E+018,    3.25333974845217E+018,    0.00000000000000E+000,    2.50256903727090E+017,    0.00000000000000E+000,    1.04596874967967E+022 
    6.00000000000001E-007,    4.98757003990015E+021,    2.80287732174341E+018,    1.45149004161712E+018,    6.85703916212226E+018,    4.43995788316454E+021,    0.00000000000000E+000,    1.37641297049899E+019,    1.00102761490836E+017,    4.00411045963344E+017,    0.00000000000000E+000,    1.10498433271659E+021,    1.20123313789003E+018,    3.55364803292467E+018,    7.90811815777604E+018,    6.65683363914059E+018,    0.00000000000000E+000,    1.25128451863545E+018,    0.00000000000000E+000,    1.05784594233056E+022 
    6.99999999999998E-007,    4.98161392559145E+021,    3.90400769814260E+018,    1.85190108758046E+018,    1.07610468602649E+019,    4.31117568050657E+021,    0.00000000000000E+000,    2.05711174863668E+019,    1.00102761490836E+017,    9.00924853417523E+017,    0.00000000000000E+000,    1.34923507075423E+021,    1.75179832608963E+018,    5.25539497826888E+018,    1.57161335540612E+019,    1.16619717136824E+019,    0.00000000000000E+000,    4.05416184037885E+018,    0.00000000000000E+000,    1.07185532380120E+022 
    7.99999999999995E-007,    4.97190395772684E+021,    5.85601154721390E+018,    3.15323698696133E+018,    1.56660821733158E+019,    4.16042092170138E+021,    0.00000000000000E+000,    3.12821129658862E+019,    2.00205522981672E+017,    1.30133589938087E+018,    0.00000000000000E+000,    1.63282619405777E+021,    3.20328836770675E+018,    8.90914577268440E+018,    2.76283621714707E+019,    1.71676235956784E+019,    0.00000000000000E+000,    1.04607385757924E+019,    0.00000000000000E+000,    1.08899792170651E+022 
    8.99999999999992E-007,    4.95768936559514E+021,    7.65786125404895E+018,    5.20534359752347E+018,    2.43249710422731E+019,    3.97377932290171E+021,    0.00000000000000E+000,    4.73486061851654E+019,    2.00205522981672E+017,    2.55262041801632E+018,    0.00000000000000E+000,    1.97547794664090E+021,    4.75488117081471E+018,    1.42145921316987E+019,    4.99012266031817E+019,    2.42749196615277E+019,    1.50154142236254E+017,    2.54761527994177E+019,    0.00000000000000E+000,    1.11130081696666E+022 
    9.99999999999993E-007,    4.93516624425970E+021,    1.17120230944278E+019,    8.45868334597563E+018,    3.62371996596826E+019,    3.73768695992558E+021,    0.00000000000000E+000,    7.21740910348927E+019,    2.00205522981672E+017,    4.35447012485136E+018,    5.00513807454180E+016,    2.41017418841486E+021,    7.80801539628520E+018,    2.22228130509656E+019,    8.14335964727950E+019,    2.84291842633974E+019,    3.00308284472508E+017,    5.26540525441797E+019,    5.00513807454180E+016,    1.14091121381565E+022 
