001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-NumDens-Spec-005,007-NumDens-Spec-006,008-TempTra-001,009-TempTra-002,010-TempTra-003,011-TempTra-004,012-TempTra-005,013-TempTra-006,014-TempVib001,015-TempVib002,016-TempVib003,017-TempVib004,018-TempVib005,019-XiVibMean001,020-XiVibMean002,021-XiVibMean003,022-XiVibMean004,023-XiVibMean005,024-TempRot001,025-TempRot002,026-TempRot003,027-TempRot004,028-TempRot005,029-TempTotal001,030-TempTotal002,031-TempTotal003,032-TempTotal004,033-TempTotal005,034-TempTotal006
0.2000000000000000E-008,0.2187245338574769E+022,0.1056584647535775E+023,0.1924175281376851E+024,0.4612234735690272E+023,0.8508734726721067E+020,0.2513780546557876E+024,0.2542359961276462E+005,0.2865746948853170E+005,0.2992094333526376E+005,0.2932579728820911E+005,0.3240095151573489E+005,0.2972034913365250E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2962598210114591E+005,0.2951664908256350E+005,0.3083150489247487E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887648038271816E+001,0.1923987474175537E+001,0.1912483777448315E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2939573285950866E+005,0.2911992273097693E+005,0.3999861410710988E+005,0.2542359961276462E+005,0.2865746948853170E+005,0.2968759750552211E+005,0.2931936275133730E+005,0.3416497503734891E+005,0.2954115088309511E+005
0.2200000000000000E-008,0.2332394342736481E+022,0.1166197171368240E+023,0.1923324407904179E+024,0.4556177189255405E+023,0.1101130376399197E+021,0.2519986917770308E+024,0.2581345531621344E+005,0.2872436544849754E+005,0.2983581314976840E+005,0.2944820061257382E+005,0.3450484581363104E+005,0.2967910761823041E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2959124767683905E+005,0.2940904846206797E+005,0.2761434927337212E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887518726557849E+001,0.1923712990333085E+001,0.1902458867173890E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2938483547865469E+005,0.2904982516224082E+005,0.3960602772632086E+005,0.2581345531621344E+005,0.2872436544849754E+005,0.2963783513963346E+005,0.2932224674903107E+005,0.3408376073760261E+005,0.2950504861118032E+005
0.2400000000000000E-008,0.2617687212985364E+022,0.1274808667585797E+023,0.1921772815101071E+024,0.4500620156627991E+023,0.1351387280126287E+021,0.2526843956932430E+024,0.2587624366038824E+005,0.2843900472070336E+005,0.2981169294084660E+005,0.2943717752449479E+005,0.3402399820815693E+005,0.2963721760654923E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2953861760185237E+005,0.2939729106997144E+005,0.2670525652938386E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887322223695852E+001,0.1923682877644211E+001,0.1899196080094298E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2934103043939040E+005,0.2894654633851870E+005,0.3780889012592436E+005,0.2587624366038824E+005,0.2843900472070336E+005,0.2960018749480725E+005,0.2928436993924492E+005,0.3310650846028950E+005,0.2944865107914731E+005
0.2600000000000000E-008,0.2852928702488829E+022,0.1396433522797163E+023,0.1920571581963181E+024,0.4439557472118580E+023,0.1401438660871705E+021,0.2534101407140516E+024,0.2572884533651708E+005,0.2825067994617411E+005,0.2975248837751277E+005,0.2935345994615184E+005,0.3285023285985803E+005,0.2955623778700382E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2950799976224916E+005,0.2932289007074007E+005,0.2805041918653925E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887207590968778E+001,0.1923491771503041E+001,0.1903950156496362E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2936876676600516E+005,0.2882560018455442E+005,0.4049464220586158E+005,0.2572884533651708E+005,0.2825067994617411E+005,0.2957406425170922E+005,0.2919248330838178E+005,0.3374105804806588E+005,0.2939330256624371E+005
0.2800000000000000E-008,0.3078159915843210E+022,0.1509049129474354E+023,0.1919270246063800E+024,0.4381497870453896E+023,0.1751798326089632E+021,0.2540858343541147E+024,0.2580446377174559E+005,0.2824472890824046E+005,0.2973727208627400E+005,0.2929075724688515E+005,0.3511833164639210E+005,0.2952769563370605E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2946913953070796E+005,0.2918660454348150E+005,0.2575958415352950E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1887061762667133E+001,0.1923139215666032E+001,0.1895562099820661E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2929300142627294E+005,0.2885385009841102E+005,0.4111137496613008E+005,0.2580446377174559E+005,0.2824472890824046E+005,0.2953478747658219E+005,0.2913560877856447E+005,0.3428388184716026E+005,0.2934741689288276E+005
0.3000000000000000E-008,0.3378468200315718E+022,0.1607149835735373E+023,0.1917668601879947E+024,0.4331446489708477E+023,0.1952003849071304E+021,0.2547264920276560E+024,0.2603345777487410E+005,0.2809757013774979E+005,0.2971834472854769E+005,0.2922733937795712E+005,0.3310997983863980E+005,0.2948631886173892E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2938989290992872E+005,0.2907409414526297E+005,0.2395596899438577E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1886763207758986E+001,0.1922845706171756E+001,0.1887851534250676E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2930766129958950E+005,0.2872779510317457E+005,0.4374757353895628E+005,0.2603345777487410E+005,0.2809757013774979E+005,0.2950909146669826E+005,0.2904045734386976E+005,0.3368980853615181E+005,0.2929745215554577E+005
0.3200000000000001E-008,0.3573668585222848E+022,0.1706752083418755E+023,0.1916567471503548E+024,0.4280394081348151E+023,0.2202260752798394E+021,0.2553221034585265E+024,0.2617858586088338E+005,0.2787591731154760E+005,0.2966444373824057E+005,0.2909259015325879E+005,0.3280359567989206E+005,0.2940293376386616E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2939306508918351E+005,0.2903938595537058E+005,0.2512228685376412E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1886775188987689E+001,0.1922754708918967E+001,0.1892961717599445E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2929553830615454E+005,0.2877418809380133E+005,0.4331320475156790E+005,0.2617858586088338E+005,0.2787591731154760E+005,0.2948295946850102E+005,0.2898582589942982E+005,0.3374351016946347E+005,0.2924961518553026E+005
0.3400000000000001E-008,0.3753853555906353E+022,0.1802850734449958E+023,0.1915566443888639E+024,0.4231343728217642E+023,0.2402466275780066E+021,0.2558926891990243E+024,0.2608720316086643E+005,0.2798311079096106E+005,0.2962710795905543E+005,0.2898021417249727E+005,0.3284731801762974E+005,0.2935540908985251E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2936558760894125E+005,0.2880907789570350E+005,0.2490940236363590E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1886671323164920E+001,0.1922145412153781E+001,0.1892063994362888E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2927967856369750E+005,0.2891374361541189E+005,0.4124337709592155E+005,0.2608720316086643E+005,0.2798311079096106E+005,0.2945456280916518E+005,0.2891348776096422E+005,0.3310458111890428E+005,0.2921545281651137E+005
0.3600000000000001E-008,0.4019125873857069E+022,0.1900450926903523E+023,0.1914064902466277E+024,0.4180791833664769E+023,0.2752825940997992E+021,0.2565133263202675E+024,0.2586275053354936E+005,0.2769550703190216E+005,0.2963801254937380E+005,0.2885293240942416E+005,0.3171833831616310E+005,0.2930922064029336E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2930615137069191E+005,0.2876562871582525E+005,0.2998146292554832E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1886445999179706E+001,0.1922029385025101E+001,0.1910040825026584E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2926188497180114E+005,0.2883909164719427E+005,0.3856744321430694E+005,0.2586275053354936E+005,0.2769550703190216E+005,0.2943786673422953E+005,0.2882469187791168E+005,0.3322060250751678E+005,0.2915688415459684E+005
0.3800000000000001E-008,0.4244357087211450E+022,0.1987039815593096E+023,0.1912713515186150E+024,0.4135245077186438E+023,0.3203288367706755E+021,0.2570588863703925E+024,0.2581715974548322E+005,0.2745784262036351E+005,0.2961394001381010E+005,0.2876798089819826E+005,0.3276462246096969E+005,0.2925242505331455E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2934739336358229E+005,0.2874439111431374E+005,0.2813607449508984E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1886602443401832E+001,0.1921972546017888E+001,0.1904237743234228E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2918730576019429E+005,0.2878454658594164E+005,0.3538063817269567E+005,0.2581715974548322E+005,0.2745784262036351E+005,0.2941701619252413E+005,0.2876621730531710E+005,0.3224583610934724E+005,0.2910496858100529E+005
0.4000000000000001E-008,0.4434552334044039E+022,0.2073128190475216E+023,0.1911512282048260E+024,0.4089698320708108E+023,0.3703802175160935E+021,0.2575844258682194E+024,0.2611945610478883E+005,0.2739933784157387E+005,0.2959467870737321E+005,0.2882638528419968E+005,0.3086055393287751E+005,0.2923799831163844E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.2926180542709495E+005,0.2870347777160336E+005,0.2666135334103848E+005,0.0000000000000000E+000,0.0000000000000000E+000,0.1886277298523026E+001,0.1921862814188414E+001,0.1899032976366424E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.2918689904288840E+005,0.2866872825718102E+005,0.3496998180356990E+005,0.2611945610478883E+005,0.2739933784157387E+005,0.2938506608530337E+005,0.2874670652619973E+005,0.3089598431043077E+005,0.2906984680897351E+005
