001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-TempTra-001,006-TempTra-002,007-TempTra-003,008-TempVib001,009-TempVib002,010-XiVibMean001,011-XiVibMean002,012-TempRot001,013-TempRot002,014-TempTotal001,015-TempTotal002,016-TempTotal003
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-008,0.6440999999999956E+024,0.7155987499999952E+025,0.7800087499999948E+025,0.6823840009025148E+003,0.8258129909322150E+003,0.8139691991185808E+003,0.7290665105582908E+003,0.7234170619948153E+003,0.1201184939201303E+000,0.2837507746645393E+000,0.7117876161721475E+003,0.7276847064334395E+003,0.6949646986672283E+003,0.7831706516613326E+003,0.7758869571741229E+003
0.4000000000000000E-008,0.9956499999999964E+024,0.1295489999999995E+026,0.1395054999999995E+026,0.7920738766606559E+003,0.8333772989307823E+003,0.8304294759142525E+003,0.7248876066343813E+003,0.7264284779784058E+003,0.1178260055449590E+000,0.2864484300557467E+000,0.7642124808596395E+003,0.7841657324250993E+003,0.7796390886554085E+003,0.8089642252808561E+003,0.8068712918638132E+003
0.6000000000000001E-008,0.1146174999999993E+025,0.1647068749999989E+026,0.1761686249999988E+026,0.7809467382529920E+003,0.8011378883773077E+003,0.7998242270205402E+003,0.7206494017806439E+003,0.7281870764086437E+003,0.1155163677538223E+000,0.2880240048697624E+000,0.7764602467054859E+003,0.7887781833588566E+003,0.7778310581840167E+003,0.7924898574650985E+003,0.7915361377396937E+003
0.8000000000000000E-008,0.1193962499999992E+025,0.1801336249999988E+026,0.1920732499999987E+026,0.7663148074312944E+003,0.7795096006129373E+003,0.7786893881026509E+003,0.7196175570814660E+003,0.7287959499754151E+003,0.1149564378844760E+000,0.2885695398791336E+000,0.7644674740623997E+003,0.7748594939429184E+003,0.7645429807486896E+003,0.7749838724383117E+003,0.7743348474885089E+003
0.1000000000000000E-007,0.1214187499999992E+025,0.1901323749999988E+026,0.2022742499999987E+026,0.7592429786752078E+003,0.7649017116530091E+003,0.7645620360468712E+003,0.7268497636145009E+003,0.7275762154595045E+003,0.1189005607778561E+000,0.2874767035711678E+000,0.7566155325471688E+003,0.7623736555425392E+003,0.7574639904756773E+003,0.7619161055291761E+003,0.7616488593301904E+003
