001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003
0.0000000000000000E+000,0.0000000000000000E+000,0.4800000000000000E+005,0.4800000000000000E+005
0.2000000000000000E-011,0.0000000000000000E+000,0.4800000000000000E+005,0.4800000000000000E+005
