001-TIME,002-ElectricCurrentSEE-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000002E-009,0.1392376418017404E+001
0.1000000000000000E-008,0.1393496241319307E+001
