"001-time","002-E-El","003-HDG-#iterations","004-HDG-RunTime","005-HDG-RunTimePerIteration","006-HDG-Norm","007-ElecDisplCurrent-001-BC_WALL","008-ElecDisplCurrent-002-BC_WALL_INLET","009-ElecDisplCurrent-003-BC_WALL_PUMP","010-ElecDisplCurrent-004-BC_SUBSTRAT","011-ElecDisplCurrent-005-BC_ELECTRODE","012-ElecDisplCurrent-006-BC_SYMMETRY"
0.5000000000000000E-008,0.2291257815022256E+003,0.0000000000000000E+000,0.9999999999998899E-004,0.0000000000000000E+000,0.8362088842233556E-006,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-007,0.2293342528613468E+003,0.1240000000000000E+003,0.1306099999999999E-001,0.1053306451612902E-003,0.8839984389521870E-006,0.1106675134376855E+003,0.0000000000000000E+000,-.2835667541066068E+002,0.0000000000000000E+000,-.2956241242907477E+003,-.1157036466636896E-008
0.1500000000000000E-007,0.2280788592252818E+003,0.1240000000000000E+003,0.1312600000000008E-001,0.1058548387096781E-003,0.9832439715668390E-006,0.2700052294855823E+003,0.0000000000000000E+000,-.1089913376264700E+002,0.0000000000000000E+000,-.3435751787815377E+003,0.6594880197496877E-009
0.2000000000000000E-007,0.2230105112669006E+003,0.1250000000000000E+003,0.1314499999999996E-001,0.1051599999999997E-003,0.7363815865269091E-006,0.4006460649611194E+003,0.0000000000000000E+000,0.1100394712686100E+001,0.0000000000000000E+000,-.3491236508222537E+003,0.1484438350018991E-008
0.2500000000000000E-007,0.2178041727207425E+003,0.1240000000000000E+003,0.1274200000000003E-001,0.1027580645161293E-003,0.8723250513608668E-006,0.4279284381173334E+003,0.0000000000000000E+000,0.1603924915776484E+002,0.0000000000000000E+000,-.4408635761342826E+003,-.2132390264364403E-008
0.3000000000000000E-007,0.2103695820087826E+003,0.1240000000000000E+003,0.1303100000000001E-001,0.1050887096774195E-003,0.8726159449855335E-006,0.4124323824236415E+003,0.0000000000000000E+000,0.3733248442290517E+002,0.0000000000000000E+000,-.4947020125361661E+003,0.1557779238936519E-008
0.3500000000000000E-007,0.2002281367007449E+003,0.1240000000000000E+003,0.1308599999999993E-001,0.1055322580645156E-003,0.7315257725944465E-006,0.4634637472658115E+003,0.0000000000000000E+000,0.5272335076191820E+002,0.0000000000000000E+000,-.4784804772133890E+003,0.5683035153580818E-009
0.3999999999999999E-007,0.1904923824454589E+003,0.1250000000000000E+003,0.1301300000000005E-001,0.1041040000000004E-003,0.7539803520941006E-006,0.4420743958839406E+003,0.0000000000000000E+000,0.5034777654032366E+002,0.0000000000000000E+000,-.4468555609085479E+003,-.1501471558196243E-008
0.4499999999999999E-007,0.1823731783653254E+003,0.1240000000000000E+003,0.1300400000000002E-001,0.1048709677419356E-003,0.7951044274584528E-006,0.3169867226357119E+003,0.0000000000000000E+000,0.4553434575123228E+002,0.0000000000000000E+000,-.3896364784403955E+003,0.8125715100781861E-009
0.5000000000000000E-007,0.1743808911506879E+003,0.1240000000000000E+003,0.1275399999999993E-001,0.1028548387096769E-003,0.8314419441561861E-006,0.2499912887747639E+003,0.0000000000000000E+000,0.6743640150696798E+002,0.0000000000000000E+000,-.3063721808756644E+003,-.3412204324648727E-008
