001-TIME,002-nPart-Spec-001,003-ResolvedTimestep,004-Pmax,005-MeanFreePath,006-MaxMCSoverMFP,007-ResolvedCellPercentage
0.0000000000000000E+000,0.6560000000000000E+003,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.4000000000000000E-005,0.6560000000000000E+003,0.7500000000000000E+002,0.1459098048714706E+001,0.3977357765940307E-002,0.2823015493546503E+001,0.1250000000000000E+002
