"electrons"
0.0000000000000000E+000
0.2999999999999998E+008
0.1499999999999999E+009
0.6899999999999995E+009
0.2459999999999999E+010
0.7159999999999995E+010
0.1721999999999999E+011
0.3451999999999998E+011
0.5843999999999996E+011
0.8502999999999994E+011
0.1087999999999999E+012
0.1258799999999999E+012
0.1357499999999999E+012
0.1403399999999999E+012
0.1420499999999999E+012
0.1425599999999999E+012
0.1426799999999999E+012
0.1427099999999999E+012
0.1427099999999999E+012
0.1427099999999999E+012
0.1427099999999999E+012
