4 0
10 27665.2798521246
6 41493.9686605023
12 119903.724553136
6 124014.661507639
12 126805.454353183
2 134645.659709899
20 136453.127648263
12 137420.112094404
4 139205.64788914
10 139324.579790848
6 140706.485917217
10 143396.563288141
12 149195.254023187
6 149917.739975171
6 150539.734989012
28 150671.030883182
12 150854.100543089
14 150860.010922613
20 151085.003715717
10 151267.55911466
2 153200.767480165
20 153697.992643895
12 153972.195141031
10 154275.811916658
4 154593.27752274
6 154836.993760783
12 158101.927971595
6 158385.256790056
6 158597.240953715
28 158631.500874244
12 158743.081017107
14 158743.081017107
14 158770.872838474
14 158822.94357181
20 158843.137368519
18 158847.113837097
10 158850.568801598
6 158930.076443806
10 158931.756845827
22 158949.306906597
10 158967.791328836
14 158985.660086541
18 158990.440540568
10 159038.759341804
14 159294.767141187
2 159794.961980904
6 160007.272084611
20 160013.225922809
12 160015.739282729
4 160428.705322673
10 160980.087236043
6 161593.897533141
12 162064.301452534
6 162184.899270039
6 162301.79585723
28 162307.307865585
14 162335.947131076
12 162349.86114954
14 162379.912821902
14 162396.064962024
18 162409.283641721
10 162412.811037344
20 162455.284647065
10 162496.179258334
6 162508.130393402
22 162518.00275528
10 162524.181129955
14 162535.103743096
18 162537.660561689
14 163079.177356293
10 163133.59485797
12 164169.671351029
14 164271.19805421
6 164275.167279675
6 164275.210738348
28 164288.487362942
12 164317.293220012
14 164335.531376438
18 164343.274263339
10 164345.860054381
14 164351.871837476
20 164417.327842089
10 164436.551061768
6 164449.907360595
22 164455.535258746
10 164458.287641367
14 164465.009249454
18 164466.595491018
8 164808.716650901
12 165423.229529879
6 165460.401181496
6 165476.879261666
28 165481.290316973
10 165482.840342976
14 165535.852680893
20 165598.353495743
10 165611.789468805
6 166154.052303962
12 166222.796681496
6 166230.300545696
24 166266.392973602
14 166304.832169848
12 166351.687862427
10 166353.056810626
20 166364.682005647
6 166674.296078145
6 166741.606319471
20 166739.281280466
14 166760.170415943
12 166768.93458166
10 166878.305575313
12 166886.664126749
6 167054.928865395
12 167079.301937822
6 167124.556902614
14 167130.365878568
20 167137.326509356
10 167246.407778523
12 167274.2647879
2 167302.143526613
6 167340.408888168
12 167349.69455796
6 167406.552988436
14 167418.163697232
20 167429.767162916
10 167528.403864345
12 167535.371738246
6 167573.666072249
6 167623.563871936
12 167737.287975999
10 167801.114280375
