001-TIME,002-ElectricCurrentSEE-BC_Xplus
0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000002E-009,0.2436907232379451E+001
0.1000000000000000E-008,0.2436977793541573E+001
