001-TIME,002-Pmean,003-Pmax,004-MeanFreePath,005-MaxMCSoverMFP,006-ResolvedCellPercentage,007-Reaction001,008-Reaction002
0,0,0,0,0,0,0,0
1E-08,0.181298879727166,0.670144326764107,8.72458344199456E-005,0.0000000000000000E+000,0.0000000000000000E+000,1.62674621356066E-17,1.001075e-19
