001-TIME,002-Pmean     ,003-Pmax     ,004-MeanFreePath     ,005-Reaction001     ,006-Reaction002     
0,0,0,0,0,0
1E-08,0.241547495431205,0.866592413088785,4.73222393876763E-05,8.04418494546298E-15,2.82428169538954E-15
