001-TIME,002-Pmean     ,003-Pmax     ,004-MeanFreePath     ,005-Reaction001     ,006-Reaction002     
0,0,0,0,0,0
1E-08,0.201220182230792,0.693759682628514,4.0091421127013E-05,4.47430289323653E-16,1.90204172662477E-17
