001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempElec001,020-TempElec002,021-TempElec003,022-XiElecMean001,023-XiElecMean002,024-XiElecMean003,025-TempTotal001,026-TempTotal002,027-TempTotal003,028-TempTotal004
0.00000000000000E+000,1.00000000000000E+022,1.00002658729345E+019,1.00002658729345E+019,1.00200005317459E+022,0.00000000000000E+000,2.79892201930038E+005,2.98573982068596E+004,1.54874800068449E+005,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,2.79892201930038E+005,2.98573982068596E+004,1.54874800068449E+005
2.00000000000000E-009,1.00000000000000E+022,1.41244996463569E+019,1.41244996463569E+019,1.00282489992927E+022,0.00000000000000E+000,1.29050320838139E+005,2.08348422073710E+004,7.49425815227552E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.25237294586237E+004,0.00000000000000E+000,0.00000000000000E+000,6.45321408548524E-001,0.00000000000000E+000,1.29050320838139E+005,2.82149133798910E+004,7.86326171090152E+004
4.00000000000000E-009,1.00000000000000E+022,1.59063288008938E+019,1.59063288008938E+019,1.00318126576018E+022,0.00000000000000E+000,8.96260079912489E+004,1.82516140801077E+004,5.39388110356783E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.34880612961811E+004,0.00000000000000E+000,0.00000000000000E+000,7.33812687523531E-001,0.00000000000000E+000,8.96260079912489E+004,2.71420115594896E+004,5.83840097753692E+004
6.00000000000000E-009,1.00000000000000E+022,1.66971406166714E+019,1.66971406166714E+019,1.00333942812333E+022,0.00000000000000E+000,7.44827463511505E+004,1.69830071550992E+004,4.57328767531248E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.40222454272746E+004,0.00000000000000E+000,0.00000000000000E+000,7.86324009619772E-001,0.00000000000000E+000,7.44827463511505E+004,2.67518706632571E+004,5.06173085072038E+004
8.00000000000000E-009,1.00000000000000E+022,1.69874386249949E+019,1.69874386249949E+019,1.00339748772500E+022,0.00000000000000E+000,6.89499320366510E+004,1.64706091979711E+004,4.27102706173111E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.42056265635970E+004,0.00000000000000E+000,0.00000000000000E+000,8.04934886748284E-001,0.00000000000000E+000,6.89499320366510E+004,2.65689635563986E+004,4.77594477965248E+004
1.00000000000000E-008,1.00000000000000E+022,1.71375927672311E+019,1.71375927672311E+019,1.00342751855345E+022,0.00000000000000E+000,6.62578699698183E+004,1.60745963250342E+004,4.11662331474262E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.42431158106777E+004,0.00000000000000E+000,0.00000000000000E+000,8.08776588542262E-001,0.00000000000000E+000,6.62578699698183E+004,2.63029649255776E+004,4.62804174476979E+004
1.20000000000000E-008,1.00000000000000E+022,1.71676235956784E+019,1.71676235956784E+019,1.00343352471914E+022,0.00000000000000E+000,6.57725337542913E+004,1.58873459731246E+004,4.08299398637080E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.42308452338220E+004,0.00000000000000E+000,0.00000000000000E+000,8.07517778228379E-001,0.00000000000000E+000,6.57725337542913E+004,2.61402817146218E+004,4.59564077344565E+004
1.40000000000000E-008,1.00000000000000E+022,1.71676235956784E+019,1.71676235956784E+019,1.00343352471914E+022,0.00000000000000E+000,6.56567618528993E+004,1.57452347676479E+004,4.07009983102736E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.42308452338220E+004,0.00000000000000E+000,0.00000000000000E+000,8.07517778228379E-001,0.00000000000000E+000,6.56567618528993E+004,2.60283101779771E+004,4.58425360154382E+004
1.60000000000000E-008,1.00000000000000E+022,1.71876441479765E+019,1.71876441479765E+019,1.00343752882960E+022,0.00000000000000E+000,6.50795404066508E+004,1.55789684932094E+004,4.03292544499301E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.42227150356599E+004,0.00000000000000E+000,0.00000000000000E+000,8.06684462768045E-001,0.00000000000000E+000,6.50795404066508E+004,2.58871920747584E+004,4.54833662407046E+004
1.80000000000000E-008,1.00000000000000E+022,1.71976544241256E+019,1.71976544241256E+019,1.00343953088482E+022,0.00000000000000E+000,6.48962454168818E+004,1.53907064835049E+004,4.01434759501933E+004,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,6.42185746569663E+004,0.00000000000000E+000,0.00000000000000E+000,8.06260316664014E-001,0.00000000000000E+000,6.48962454168818E+004,2.57336597185237E+004,4.53149525677027E+004
