001-time,002-E-El
0,0
5E-10,3.58933445054784E-09
0.000000001,9.75543419771557E-09
0.0000000015,1.54323429703684E-08
0.000000002,1.96271838047281E-08
0.0000000025,1.98073944003939E-08
0.000000003,1.98238640067753E-08
0.0000000035,1.99446790647449E-08
