001-TIME,002-TempTra-001,003-TempVib001,004-XiVibMean001,005-TempRot001,006-TempElec001,007-XiElecMean001,008-TempTotal001
0,49993.3710780262,15009.627336492,1.78243616267314,982.544168915085,180810.059884027,1.08204866470589,47599.3273818011
8E-08,32612.6514137097,17521.3684354732,1.81258082683989,26441.5812484937,162736.930621966,1.19137110543944,47021.7829066832
1.6E-07,30904.5751239054,18869.8222432019,1.82555989801432,29556.9673767713,134457.063577251,1.4137184815779,45678.7681291559
2.4E-07,30979.6590910514,20128.8826014242,1.83615556151613,30237.6409265419,113769.93690984,1.63475585016997,44429.704255857
3.2E-07,31021.655495605,21423.6528234393,1.84578914746067,30795.1351435237,99880.0311745305,1.82380118564369,43411.5208991431
4E-07,31067.1157103132,22506.4023622472,1.85301675423156,31325.0817726768,90462.5190341648,1.97655163099907,42624.9703781468
4.79999999999999E-07,31238.5235477708,23652.9284040724,1.85996690383746,31453.2161021796,83473.1215719502,2.10540174155556,41979.3248080372
5.59999999999999E-07,31759.6158216815,24536.2581643658,1.86488930706185,31271.7314485053,77787.4034779962,2.22118706486663,41421.6296294564
6.39999999999999E-07,31918.0343375532,25700.1538763237,1.87087043350824,31674.9204770557,71973.3090478646,2.35051735933744,40813.8257246438
7.19999999999998E-07,32343.0248392915,26528.1569745981,1.87481307339533,31607.1922040449,68123.2259932357,2.44235864485676,40394.2479258866
7.99999999999998E-07,32397.5481283466,27065.9466035432,1.87724742351068,32268.6201452836,64997.6200056985,2.52041209147056,40048.2854248108
8.79999999999998E-07,32753.8191993479,27712.8899642429,1.88005333870477,32505.5016555412,61912.1908970456,2.60023086378575,39699.2488608918
9.59999999999997E-07,32907.3940318,28194.1612614095,1.88205892021338,33154.4587818762,59263.4482509441,2.67054859565399,39398.676249824
1.04E-06,33182.3936835094,28807.3709241212,1.88451921876379,33197.4902803484,57366.5995120313,2.7216166346614,39179.1353993287
1.12E-06,33451.4519651399,29090.3281486063,1.88562022339362,33513.1763096718,55715.467736252,2.7663080683504,38993.261877999
1.2E-06,33800.7261535844,29523.594366167,1.88726600604831,33440.1449340063,54351.4368331867,2.80321554290113,38838.1253254635
1.28E-06,33865.1619991932,29929.9812625136,1.88876723004798,33954.2153675651,52878.6007345163,2.84284216328434,38673.9936868739
1.36000000000001E-06,33967.4700978446,30434.6327732667,1.89057672349121,34107.2560452552,51771.4087202843,2.87232195115731,38550.0348764343
1.44000000000001E-06,34627.7155939069,30706.6748582383,1.89152796438407,33640.0516938603,50738.7939597753,2.89944559286732,38439.5029452798
1.52000000000001E-06,34530.4926063538,31322.4922087707,1.89362137915631,33820.59337797,49930.6869087399,2.92033854646564,38349.465246796
1.60000000000001E-06,34672.7750609155,31455.7857854157,1.89406390868344,34331.1337119792,48911.1770529314,2.94616194822521,38247.1007608179
1.68000000000001E-06,34926.5640470631,31558.4754972937,1.89440233257406,34711.3605890712,47933.4821890947,2.97022759550942,38152.4920047269
1.76000000000002E-06,34909.9703663518,31881.5018793439,1.89545294333783,34930.0623795953,47370.6610188014,2.98370843363924,38096.3675823165
1.84000000000002E-06,35361.8551658159,32100.8162582926,1.89615441006184,34731.7464777349,46634.199861227,3.00086814689462,38027.623512144
1.92000000000002E-06,35170.8985015497,32449.3333915438,1.89724997132221,35373.1402666928,45919.9825550521,3.01691680179697,37961.8628984104
2.00000000000002E-06,35549.7437527198,32811.7839768419,1.89836508504232,34983.1857164757,45388.457966379,3.02843157108452,37913.558610736
2.08000000000001E-06,35513.3496232984,32832.5243644554,1.89842816336412,35704.9776882211,44732.6092160081,3.04207393245487,37861.276419746
2.16000000000001E-06,35650.2818167875,33254.1272495279,1.89969363999293,35670.7813446567,44185.5656612423,3.05292357249545,37815.2006768753
2.24000000000001E-06,35634.1563104595,33766.4983027375,1.90118976322162,35297.0734442434,44082.0196708131,3.05491880846623,37801.9308478284
2.32000000000001E-06,35853.91951651,34009.9294298625,1.90188505705739,35211.749527811,43645.8505071314,3.06310629070836,37768.2328359952
2.4E-06,35754.0579843972,34219.6994629045,1.90247640773621,35716.9247208982,43152.9509007333,3.07191112021959,37732.6650874946
2.48E-06,36225.7244851947,34384.2501677026,1.90293531908779,35481.9974141535,42612.5460147961,3.08097268652739,37696.6877611119
2.56E-06,35973.2746089982,34802.4208365228,1.90408234570484,35799.6966992274,42316.564844818,3.08565375645746,37674.6848718443
2.64E-06,35784.8387297193,34975.8063237274,1.90455002619755,35989.425046167,42250.6092389242,3.08666834129993,37669.0953221871
2.71999999999999E-06,35772.2176368468,34904.7524353118,1.90435892182807,36411.9455573989,41980.0619300425,3.09071759644664,37654.5628398842
2.79999999999999E-06,36160.8272773989,35048.2198622313,1.90474400348124,35999.129191368,41728.6546793416,3.09431305418899,37639.563967638
2.87999999999999E-06,36345.7233646978,35153.9500085085,1.90502581599855,35889.2976938276,41512.4237517841,3.09727141169169,37627.3752450388
2.95999999999999E-06,36264.9304585417,35345.3509175165,1.90553175705276,36099.2357451409,41293.4338969212,3.1001365819846,37614.702363723
3.03999999999998E-06,36565.3436236691,35148.170559934,1.90501045456801,36206.4446487239,41015.127104993,3.10358053943406,37603.7249474061
3.11999999999998E-06,35960.4627376396,35367.4486104075,1.90558982236832,36978.5010411455,40950.9820451434,3.10434208459968,37598.6670915088
3.19999999999998E-06,36475.1706867231,35199.8455772263,1.90514762757679,36615.92313249,40767.3409463805,3.10645373147033,37592.3996097363
3.27999999999998E-06,36326.8253307018,35365.7487886297,1.90558535834121,36894.2630987335,40600.8569267977,3.10827836184044,37583.9167420661
