001-TIME,002-TempTra-001,003-TempTra-002,004-TempTra-003,005-TempVib001,006-TempVib002,007-XiVibMean001,008-XiVibMean002,009-TempRot001,010-TempRot002,011-TempTotal001,012-TempTotal002,013-TempTotal003
1.80000000000000E-008,5.97474447279100E+003,4.03166859588869E+003,5.00320653433985E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.97474447279100E+003,4.03166859588869E+003,5.00320653433985E+003
1.90000000000000E-008,5.91422041539253E+003,4.09232329897940E+003,5.00327185718596E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.91422041539253E+003,4.09232329897940E+003,5.00327185718596E+003
2.00000000000000E-008,5.85840776812771E+003,4.14800997383393E+003,5.00320887098082E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.85840776812771E+003,4.14800997383393E+003,5.00320887098082E+003
2.10000000000000E-008,5.79677367973125E+003,4.20967748549536E+003,5.00322558261331E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.79677367973125E+003,4.20967748549536E+003,5.00322558261331E+003
2.20000000000000E-008,5.74017541532779E+003,4.26620116896994E+003,5.00318829214887E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.74017541532779E+003,4.26620116896994E+003,5.00318829214887E+003
2.30000000000000E-008,5.69295567842429E+003,4.31295702077458E+003,5.00295634959944E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.69295567842429E+003,4.31295702077458E+003,5.00295634959944E+003
2.40000000000000E-008,5.63490530406130E+003,4.37133262789344E+003,5.00311896597737E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.63490530406130E+003,4.37133262789344E+003,5.00311896597737E+003
2.50000000000000E-008,5.58751044463288E+003,4.41878133187659E+003,5.00314588825473E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.58751044463288E+003,4.41878133187659E+003,5.00314588825473E+003
2.60000000000000E-008,5.54887783064817E+003,4.45739579460702E+003,5.00313681262760E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.54887783064817E+003,4.45739579460702E+003,5.00313681262760E+003
2.70000000000000E-008,5.50615908081697E+003,4.50015029909921E+003,5.00315468995809E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.50615908081697E+003,4.50015029909921E+003,5.00315468995809E+003
2.80000000000000E-008,5.46474933426410E+003,4.54171049174414E+003,5.00322991300412E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.46474933426410E+003,4.54171049174414E+003,5.00322991300412E+003
2.90000000000000E-008,5.42963945367645E+003,4.57680054595409E+003,5.00321999981527E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.42963945367645E+003,4.57680054595409E+003,5.00321999981527E+003
3.00000000000000E-008,5.41266159727744E+003,4.59369331117957E+003,5.00317745422850E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.41266159727744E+003,4.59369331117957E+003,5.00317745422850E+003
3.10000000000000E-008,5.38410581878463E+003,4.62219580010814E+003,5.00315080944638E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.38410581878463E+003,4.62219580010814E+003,5.00315080944638E+003
3.20000000000000E-008,5.36213316304604E+003,4.64426388067718E+003,5.00319852186161E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.36213316304604E+003,4.64426388067718E+003,5.00319852186161E+003
3.30000000000000E-008,5.34267913356294E+003,4.66361317085230E+003,5.00314615220762E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.34267913356294E+003,4.66361317085230E+003,5.00314615220762E+003
3.40000000000000E-008,5.31857600872777E+003,4.68792431586056E+003,5.00325016229417E+003,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,0.00000000000000E+000,5.31857600872777E+003,4.68792431586056E+003,5.00325016229417E+003
