001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.5000000000000000E-008,0.1734600000000005E+021,0.8265400000000022E+021,0.1000000000000003E+022
0.1000000000000000E-007,0.3242900000000009E+021,0.6757100000000018E+021,0.1000000000000003E+022
0.1500000000000001E-007,0.4548700000000012E+021,0.5451300000000014E+021,0.1000000000000003E+022
0.2000000000000000E-007,0.5643300000000015E+021,0.4356700000000011E+021,0.1000000000000003E+022
0.2500000000000000E-007,0.6554300000000018E+021,0.3445700000000009E+021,0.1000000000000003E+022
0.2999999999999999E-007,0.7261600000000020E+021,0.2738400000000007E+021,0.1000000000000003E+022
0.3500000000000000E-007,0.7811200000000021E+021,0.2188800000000006E+021,0.1000000000000003E+022
0.4000000000000001E-007,0.8230300000000022E+021,0.1769700000000005E+021,0.1000000000000003E+022
0.4500000000000003E-007,0.8562500000000023E+021,0.1437500000000004E+021,0.1000000000000003E+022
0.5000000000000004E-007,0.8815400000000024E+021,0.1184600000000003E+021,0.1000000000000003E+022
0.5500000000000005E-007,0.9011100000000024E+021,0.9889000000000026E+020,0.1000000000000003E+022
0.6000000000000006E-007,0.9171100000000024E+021,0.8289000000000021E+020,0.1000000000000003E+022
0.6500000000000004E-007,0.9294300000000024E+021,0.7057000000000019E+020,0.1000000000000003E+022
0.7000000000000002E-007,0.9400100000000024E+021,0.5999000000000016E+020,0.1000000000000003E+022
0.7500000000000000E-007,0.9490500000000026E+021,0.5095000000000013E+020,0.1000000000000003E+022
0.7999999999999998E-007,0.9560700000000026E+021,0.4393000000000011E+020,0.1000000000000003E+022
0.8499999999999995E-007,0.9620300000000026E+021,0.3797000000000010E+020,0.1000000000000003E+022
0.8999999999999993E-007,0.9670400000000025E+021,0.3296000000000009E+020,0.1000000000000003E+022
0.9499999999999991E-007,0.9713000000000025E+021,0.2870000000000007E+020,0.1000000000000003E+022
0.1000000000000000E-006,0.9749900000000026E+021,0.2501000000000007E+020,0.1000000000000003E+022
