001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.5000000000000000E-008,0.6130000000000016E+020,0.9387000000000025E+021,0.1000000000000003E+022
0.1000000000000000E-007,0.1193900000000003E+021,0.8806100000000023E+021,0.1000000000000003E+022
0.1500000000000001E-007,0.1735700000000005E+021,0.8264300000000022E+021,0.1000000000000003E+022
0.2000000000000000E-007,0.2245300000000006E+021,0.7754700000000020E+021,0.1000000000000003E+022
0.2500000000000000E-007,0.2726500000000007E+021,0.7273500000000019E+021,0.1000000000000003E+022
0.2999999999999999E-007,0.3191100000000009E+021,0.6808900000000018E+021,0.1000000000000003E+022
0.3500000000000000E-007,0.3616900000000009E+021,0.6383100000000016E+021,0.1000000000000003E+022
0.4000000000000001E-007,0.4013600000000010E+021,0.5986400000000016E+021,0.1000000000000003E+022
0.4500000000000003E-007,0.4373700000000012E+021,0.5626300000000015E+021,0.1000000000000003E+022
0.5000000000000004E-007,0.4710600000000012E+021,0.5289400000000014E+021,0.1000000000000003E+022
0.5500000000000005E-007,0.5025500000000013E+021,0.4974500000000013E+021,0.1000000000000003E+022
0.6000000000000006E-007,0.5319900000000014E+021,0.4680100000000012E+021,0.1000000000000003E+022
0.6500000000000004E-007,0.5592700000000014E+021,0.4407300000000012E+021,0.1000000000000003E+022
0.7000000000000002E-007,0.5841600000000015E+021,0.4158400000000011E+021,0.1000000000000003E+022
0.7500000000000000E-007,0.6076400000000016E+021,0.3923600000000010E+021,0.1000000000000003E+022
0.7999999999999998E-007,0.6290300000000016E+021,0.3709700000000010E+021,0.1000000000000003E+022
0.8499999999999995E-007,0.6501100000000018E+021,0.3498900000000009E+021,0.1000000000000003E+022
0.8999999999999993E-007,0.6687600000000017E+021,0.3312400000000009E+021,0.1000000000000003E+022
0.9499999999999991E-007,0.6862500000000018E+021,0.3137500000000009E+021,0.1000000000000003E+022
0.1000000000000000E-006,0.7033300000000019E+021,0.2966700000000008E+021,0.1000000000000003E+022
