001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.0000000000000000E+000,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.5000000000000000E-008,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.1000000000000000E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.1500000000000001E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.2000000000000000E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.2500000000000000E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.2999999999999999E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.3500000000000000E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.4000000000000001E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.4500000000000003E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.5000000000000004E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.5500000000000005E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.6000000000000006E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.6500000000000004E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.7000000000000002E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.7500000000000000E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.7999999999999998E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.8499999999999995E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.8999999999999993E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.9499999999999991E-007,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
0.1000000000000000E-006,0.0000000000000000E+000,0.1000000000000003E+022,0.1000000000000003E+022
