001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.00000000000000E+000,2.68665250000002E+025,0.00000000000000E+000,2.68665250000002E+025
9.99999999999999E-010,2.67486250000002E+025,1.11925000000001E+023,2.68605500000002E+025
2.00000000000000E-009,2.66812250000002E+025,1.85650000000002E+023,2.68668750000002E+025
3.00000000000002E-009,2.66203250000002E+025,2.42825000000002E+023,2.68631500000002E+025
4.00000000000002E-009,2.65622500000002E+025,2.93675000000003E+023,2.68559250000002E+025
5.00000000000000E-009,2.65246750000002E+025,3.41250000000003E+023,2.68659250000002E+025
5.99999999999997E-009,2.64817250000002E+025,3.83550000000003E+023,2.68652750000002E+025
6.99999999999995E-009,2.64464000000002E+025,4.20975000000004E+023,2.68673750000002E+025
7.99999999999992E-009,2.64169750000002E+025,4.59175000000004E+023,2.68761500000002E+025
8.99999999999990E-009,2.63855000000002E+025,4.92550000000004E+023,2.68780500000002E+025
1.00000000000000E-008,2.63528750000002E+025,5.25425000000005E+023,2.68783000000002E+025
1.10000000000000E-008,2.63266250000002E+025,5.55450000000005E+023,2.68820750000002E+025
1.20000000000000E-008,2.62919250000002E+025,5.84975000000005E+023,2.68769000000002E+025
1.29999999999999E-008,2.62606000000002E+025,6.09625000000005E+023,2.68702250000002E+025
1.39999999999999E-008,2.62339500000002E+025,6.36750000000006E+023,2.68707000000002E+025
1.49999999999999E-008,2.62090250000002E+025,6.62450000000006E+023,2.68714750000002E+025
1.60000000000000E-008,2.61842750000002E+025,6.86750000000006E+023,2.68710250000002E+025
1.70000000000002E-008,2.61581500000002E+025,7.07925000000006E+023,2.68660750000002E+025
1.80000000000003E-008,2.61331500000002E+025,7.36250000000007E+023,2.68694000000002E+025
1.90000000000005E-008,2.61112250000002E+025,7.58650000000007E+023,2.68698750000002E+025
2.00000000000000E-008,2.60903000000002E+025,7.81500000000007E+023,2.68718000000002E+025
2.10000000000001E-008,2.60701500000002E+025,8.04350000000007E+023,2.68745000000002E+025
2.20000000000003E-008,2.60575500000002E+025,8.22500000000007E+023,2.68800500000002E+025
2.30000000000004E-008,2.60381500000002E+025,8.40850000000008E+023,2.68790000000002E+025
2.40000000000006E-008,2.60141750000002E+025,8.62750000000008E+023,2.68769250000002E+025
2.50000000000007E-008,2.59971250000002E+025,8.84950000000008E+023,2.68820750000002E+025
2.60000000000008E-008,2.59800250000002E+025,9.03800000000008E+023,2.68838250000002E+025
2.70000000000010E-008,2.59626000000002E+025,9.24225000000008E+023,2.68868250000002E+025
2.80000000000011E-008,2.59410000000002E+025,9.41950000000008E+023,2.68829500000002E+025
2.90000000000013E-008,2.59194000000002E+025,9.59975000000009E+023,2.68793750000002E+025
3.00000000000000E-008,2.58984750000002E+025,9.78275000000009E+023,2.68767500000002E+025
3.09999999999998E-008,2.58807500000002E+025,9.95800000000009E+023,2.68765500000002E+025
3.19999999999996E-008,2.58626500000002E+025,1.01147500000001E+024,2.68741250000002E+025
3.29999999999994E-008,2.58476250000002E+025,1.03012500000001E+024,2.68777500000002E+025
3.39999999999992E-008,2.58345000000002E+025,1.04765000000001E+024,2.68821500000002E+025
3.49999999999991E-008,2.58084500000002E+025,1.06495000000001E+024,2.68734000000002E+025
3.59999999999989E-008,2.57955000000002E+025,1.08055000000001E+024,2.68760500000002E+025
3.69999999999987E-008,2.57864250000002E+025,1.09775000000001E+024,2.68841750000002E+025
3.79999999999985E-008,2.57742000000002E+025,1.11162500000001E+024,2.68858250000002E+025
3.89999999999983E-008,2.57576000000002E+025,1.12740000000001E+024,2.68850000000002E+025
4.00000000000000E-008,2.57407750000002E+025,1.14192500000001E+024,2.68827000000002E+025
