001-TIME,002-NumDens-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001,008-Pmean,009-Pmax,010-MeanFreePath,011-MaxMCSoverMFP,012-ResolvedCellPercentage
0,1E+022,5000.7694212872,4948.97535472698,1.57588795113921,4996.25975996126,4986.98558422092,0,0,0,0,0
0.00000001,1E+022,5003.18537370868,4949.43782890819,1.57592433193968,4992.32966071455,4987.00308750072,0.6100164229169058E-001,0.104042801202628,0.000297713890670607,0.000123887444083463,0.1000000000000000E+003
