  TIME     ,002-nPart-Spec-001     ,003     -Charge     ,004-Charge-absError     ,005-Charge-relError     ,006-nPartIn-Spec-001     ,007-nPartOut-Spec-001     ,008-Ekin-001     ,009-EkinIn-001     ,010-EkinOut-001      
    9.91610379031494E-012,    2.57300000000000E+003,    0.00000000000000E+000,    4.12240021168987E-010,   -1.00000000000000E+000,    1.27000000000000E+002,    0.00000000000000E+000,    3.34838293292057E-005,    1.65324590689393E-006,    0.00000000000000E+000 
    1.03882992089014E-011,    2.70200000000000E+003,    0.00000000000000E+000,    4.32908098405986E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    3.51612165280452E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.08604946274878E-011,    2.83000000000000E+003,    0.00000000000000E+000,    4.53415957989985E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    3.68253886003472E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    1.13326900460742E-011,    2.95900000000000E+003,    0.00000000000000E+000,    4.74084035226985E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    3.85023756595499E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.18048854646606E-011,    3.08800000000000E+003,    0.00000000000000E+000,    4.94752112463984E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    4.01791555731905E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.22770808832471E-011,    3.21900000000000E+003,    0.00000000000000E+000,    5.15740625006983E-010,   -1.00000000000000E+000,    1.31000000000000E+002,    0.00000000000000E+000,    4.18817585818423E-005,    1.70531664411894E-006,    0.00000000000000E+000 
    1.27492763018335E-011,    3.34500000000000E+003,    0.00000000000000E+000,    5.35928049284982E-010,   -1.00000000000000E+000,    1.26000000000000E+002,    0.00000000000000E+000,    4.35190632377765E-005,    1.64022822258768E-006,    0.00000000000000E+000 
    1.32214717204199E-011,    3.47400000000000E+003,    0.00000000000000E+000,    5.56596126521982E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    4.51952056251610E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.36936671390063E-011,    3.60200000000000E+003,    0.00000000000000E+000,    5.77103986105981E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    4.68581142817098E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    1.41658625575928E-011,    3.73100000000000E+003,    0.00000000000000E+000,    5.97772063342980E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    4.85338217680135E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.46380579761792E-011,    3.86000000000000E+003,    0.00000000000000E+000,    6.18440140579979E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    5.02093077245577E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.51102533947656E-011,    3.99100000000000E+003,    0.00000000000000E+000,    6.39428653122978E-010,   -1.00000000000000E+000,    1.31000000000000E+002,    0.00000000000000E+000,    5.19106032208997E-005,    1.70531664411894E-006,    0.00000000000000E+000 
    1.55824488133520E-011,    4.11700000000000E+003,    0.00000000000000E+000,    6.59616077400978E-010,   -1.00000000000000E+000,    1.26000000000000E+002,    0.00000000000000E+000,    5.35465874404879E-005,    1.64022822258768E-006,    0.00000000000000E+000 
    1.60546442319385E-011,    4.24600000000000E+003,    0.00000000000000E+000,    6.80284154637977E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    5.52213929567939E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.65268396505249E-011,    4.37400000000000E+003,    0.00000000000000E+000,    7.00792014221976E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    5.68829477515588E-005,    1.66626359120018E-006,    0.00000000000000E+000 
    1.69990350691113E-011,    4.50300000000000E+003,    0.00000000000000E+000,    7.21460091458975E-010,   -1.00000000000000E+000,    1.29000000000000E+002,    0.00000000000000E+000,    5.85572838756904E-005,    1.67928127550644E-006,    0.00000000000000E+000 
    1.74712304876977E-011,    4.63300000000000E+003,    0.00000000000000E+000,    7.42288386348975E-010,   -1.00000000000000E+000,    1.30000000000000E+002,    0.00000000000000E+000,    6.02443965438075E-005,    1.69229895981269E-006,    0.00000000000000E+000 
    1.79434259062842E-011,    4.76100000000000E+003,    0.00000000000000E+000,    7.62796245932974E-010,   -1.00000000000000E+000,    1.28000000000000E+002,    0.00000000000000E+000,    6.19052346515712E-005,    1.66626359120018E-006,    0.00000000000000E+000 
