LXCat, www.lxcat.net
Generated on XX Month XXXX. All rights reserved.

RECOMMENDED REFERENCE FORMAT
- BOLSIG+ solver ver. 03/2016, www.lxcat.net
- Phelps database, www.lxcat.net, retrieved on Month X, XXXX

DESCRIPTION
Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.

CONFIG
Tgas = 300 K
EEDF = non-Maxwellian

****************************************************************************************
*                                    BOLSIG+ OUTPUT                                    *
****************************************************************************************

BOLSIG+ version: 03/2016

 Transport coefficients
A1     Mean energy (eV)
A2     Mobility *N (1/m/V/s)
A6     Diffusion coefficient *N (1/m/s)
A11    Energy mobility *N (1/m/V/s)
A12    Energy diffusion coef. D*N (1/m/s)
A13    Total collision freq. /N (m3/s)
A14    Momentum frequency /N (m3/s)
A16    Total ionization freq. /N (m3/s)
A18    Townsend ioniz. coef. alpha/N (m2)
A20    Power /N (eV m3/s)
A21    Elastic power loss /N (eV m3/s)
A22    Inelastic power loss /N (eV m3/s)
A23    Growth power /N (eV m3/s)
A27    Maximum energy
A28    # of iterations
A29    # of grid trials
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29
          24  0.8498      0.3603      0.4473E+25  0.1285E+25  0.6371E+25  0.1439E+25  0.3032E-13  0.3932E-13   0.000       0.000      0.3230E-17  0.4874E-18  0.2742E-17   0.000       2.111       4.000       1.000
          25  0.9326      0.3875      0.4256E+25  0.1313E+25  0.6102E+25  0.1475E+25  0.3186E-13  0.4133E-13   0.000       0.000      0.3702E-17  0.5514E-18  0.3150E-17   0.000       2.111       4.000       1.000
          26   1.024      0.4159      0.4053E+25  0.1343E+25  0.5853E+25  0.1512E+25  0.3342E-13  0.4339E-13   0.000       0.000      0.4246E-17  0.6202E-18  0.3626E-17   0.000       2.111       4.000       1.000
          27   1.123      0.4452      0.3865E+25  0.1373E+25  0.5624E+25  0.1547E+25  0.3497E-13  0.4551E-13   0.000       0.000      0.4877E-17  0.6931E-18  0.4184E-17   0.000       2.111       4.000       1.000
          28   1.233      0.4749      0.3690E+25  0.1403E+25  0.5413E+25  0.1582E+25  0.3650E-13  0.4766E-13   0.000       0.000      0.5609E-17  0.7694E-18  0.4840E-17   0.000       2.111       4.000       1.000
          29   1.353      0.5047      0.3530E+25  0.1433E+25  0.5219E+25  0.1614E+25  0.3800E-13  0.4983E-13   0.000       0.000      0.6462E-17  0.8480E-18  0.5614E-17   0.000       2.111       4.000       1.000
          30   1.485      0.5342      0.3382E+25  0.1463E+25  0.5040E+25  0.1645E+25  0.3946E-13  0.5201E-13   0.000       0.000      0.7457E-17  0.9283E-18  0.6528E-17   0.000       2.111       5.000       1.000
          31   1.630      0.5632      0.3245E+25  0.1491E+25  0.4875E+25  0.1674E+25  0.4086E-13  0.5420E-13   0.000       0.000      0.8620E-17  0.1009E-17  0.7610E-17   0.000       2.111       5.000       1.000
          32   1.789      0.5915      0.3120E+25  0.1519E+25  0.4722E+25  0.1700E+25  0.4221E-13  0.5637E-13   0.000       0.000      0.9982E-17  0.1091E-17  0.8891E-17   0.000       2.111       5.000       1.000
          33   1.963      0.6188      0.3005E+25  0.1544E+25  0.4579E+25  0.1724E+25  0.4351E-13  0.5854E-13   0.000       0.000      0.1158E-16  0.1172E-17  0.1041E-16   0.000       2.515       10.00       2.000
          34   2.154      0.6453      0.2898E+25  0.1568E+25  0.4444E+25  0.1746E+25  0.4475E-13  0.6069E-13   0.000       0.000      0.1345E-16  0.1254E-17  0.1220E-16   0.000       2.515       5.000       1.000
          35   2.364      0.6708      0.2799E+25  0.1591E+25  0.4317E+25  0.1765E+25  0.4595E-13  0.6284E-13   0.000       0.000      0.1565E-16  0.1335E-17  0.1431E-16   0.000       2.515       5.000       1.000
          36   2.595      0.6954      0.2706E+25  0.1611E+25  0.4195E+25  0.1783E+25  0.4710E-13  0.6499E-13   0.000       0.000      0.1822E-16  0.1416E-17  0.1681E-16   0.000       2.515       5.000       1.000
          37   2.848      0.7192      0.2619E+25  0.1631E+25  0.4079E+25  0.1799E+25  0.4822E-13  0.6715E-13   0.000       0.000      0.2125E-16  0.1497E-17  0.1975E-16   0.000       2.515       5.000       1.000
          38   3.126      0.7421      0.2537E+25  0.1648E+25  0.3967E+25  0.1813E+25  0.4931E-13  0.6932E-13   0.000       0.000      0.2479E-16  0.1577E-17  0.2321E-16   0.000       2.515       5.000       1.000
          39   3.430      0.7642      0.2459E+25  0.1664E+25  0.3858E+25  0.1826E+25  0.5037E-13  0.7152E-13   0.000       0.000      0.2894E-16  0.1658E-17  0.2728E-16   0.000       2.515       5.000       1.000
          40   3.765      0.7856      0.2385E+25  0.1679E+25  0.3752E+25  0.1837E+25  0.5141E-13  0.7376E-13   0.000       0.000      0.3380E-16  0.1740E-17  0.3206E-16   0.000       2.515       5.000       1.000
          41   4.132      0.8063      0.2313E+25  0.1692E+25  0.3649E+25  0.1846E+25  0.5244E-13  0.7603E-13   0.000       0.000      0.3950E-16  0.1821E-17  0.3768E-16   0.000       2.515       5.000       1.000
          42   4.535      0.8262      0.2245E+25  0.1704E+25  0.3549E+25  0.1855E+25  0.5345E-13  0.7835E-13   0.000       0.000      0.4616E-16  0.1902E-17  0.4426E-16   0.000       2.515       5.000       1.000
          43   4.977      0.8454      0.2179E+25  0.1715E+25  0.3451E+25  0.1861E+25  0.5444E-13  0.8072E-13   0.000       0.000      0.5398E-16  0.1983E-17  0.5199E-16   0.000       2.515       5.000       1.000
          44   5.462      0.8639      0.2116E+25  0.1724E+25  0.3357E+25  0.1867E+25  0.5542E-13  0.8313E-13   0.000       0.000      0.6313E-16  0.2064E-17  0.6106E-16   0.000       2.515       5.000       1.000
          45   5.995      0.8815      0.2055E+25  0.1732E+25  0.3265E+25  0.1871E+25  0.5638E-13  0.8558E-13   0.000       0.000      0.7386E-16  0.2144E-17  0.7171E-16   0.000       2.515       5.000       1.000
          46   6.579      0.8983      0.1997E+25  0.1739E+25  0.3177E+25  0.1875E+25  0.5732E-13  0.8807E-13   0.000       0.000      0.8645E-16  0.2223E-17  0.8422E-16   0.000       2.515       5.000       1.000
          47   7.221      0.9143      0.1941E+25  0.1745E+25  0.3092E+25  0.1877E+25  0.5824E-13  0.9060E-13   0.000       0.000      0.1012E-15  0.2301E-17  0.9892E-16   0.000       2.515       5.000       1.000
          48   7.925      0.9294      0.1889E+25  0.1751E+25  0.3011E+25  0.1878E+25  0.5914E-13  0.9313E-13   0.000       0.000      0.1186E-15  0.2377E-17  0.1162E-15   0.000       2.995       10.00       2.000
          49   8.697      0.9437      0.1838E+25  0.1755E+25  0.2933E+25  0.1878E+25  0.6002E-13  0.9568E-13   0.000       0.000      0.1391E-15  0.2451E-17  0.1366E-15   0.000       2.995       5.000       1.000
          50   9.545      0.9571      0.1791E+25  0.1758E+25  0.2859E+25  0.1878E+25  0.6087E-13  0.9822E-13   0.000       0.000      0.1632E-15  0.2524E-17  0.1606E-15   0.000       2.995       5.000       1.000
          51   10.48      0.9698      0.1746E+25  0.1761E+25  0.2788E+25  0.1877E+25  0.6171E-13  0.1008E-12   0.000       0.000      0.1916E-15  0.2596E-17  0.1890E-15   0.000       2.995       5.000       1.000
          52   11.50      0.9814      0.1703E+25  0.1763E+25  0.2722E+25  0.1876E+25  0.6252E-13  0.1033E-12   0.000       0.000      0.2251E-15  0.2666E-17  0.2225E-15   0.000       2.995       5.000       1.000
          53   12.62      0.9929      0.1663E+25  0.1764E+25  0.2657E+25  0.1872E+25  0.6332E-13  0.1057E-12   0.000       0.000      0.2648E-15  0.2735E-17  0.2621E-15   0.000       3.567       10.00       2.000
          54   13.85       1.003      0.1625E+25  0.1764E+25  0.2598E+25  0.1870E+25  0.6410E-13  0.1082E-12   0.000       0.000      0.3118E-15  0.2802E-17  0.3089E-15   0.000       3.567       5.000       1.000
          55   15.20       1.013      0.1590E+25  0.1764E+25  0.2539E+25  0.1866E+25  0.6489E-13  0.1106E-12   0.000       0.000      0.3674E-15  0.2870E-17  0.3645E-15   0.000       5.060       14.00       3.000
          56   16.68       1.023      0.1557E+25  0.1762E+25  0.2484E+25  0.1861E+25  0.6568E-13  0.1130E-12   0.000       0.000      0.4333E-15  0.2937E-17  0.4303E-15   0.000       10.18       26.00       5.000
          57   18.31       1.032      0.1526E+25  0.1761E+25  0.2432E+25  0.1856E+25  0.6647E-13  0.1153E-12   0.000       0.000      0.5114E-15  0.3006E-17  0.5083E-15   0.000       10.18       5.000       1.000
          58   20.09       1.040      0.1496E+25  0.1760E+25  0.2381E+25  0.1850E+25  0.6728E-13  0.1176E-12   0.000       0.000      0.6039E-15  0.3077E-17  0.6007E-15   0.000       12.12       10.00       2.000
          59   22.05       1.049      0.1468E+25  0.1758E+25  0.2332E+25  0.1844E+25  0.6811E-13  0.1198E-12   0.000       0.000      0.7138E-15  0.3150E-17  0.7105E-15   0.000       12.12       5.000       1.000
          60   24.20       1.058      0.1441E+25  0.1755E+25  0.2283E+25  0.1836E+25  0.6898E-13  0.1221E-12   0.000       0.000      0.8440E-15  0.3227E-17  0.8408E-15   0.000       14.42       10.00       2.000
          61   26.56       1.067      0.1415E+25  0.1752E+25  0.2236E+25  0.1828E+25  0.6990E-13  0.1243E-12   0.000       0.000      0.9985E-15  0.3310E-17  0.9952E-15   0.000       14.42       5.000       1.000
          62   29.15       1.076      0.1390E+25  0.1749E+25  0.2189E+25  0.1819E+25  0.7089E-13  0.1265E-12   0.000       0.000      0.1182E-14  0.3401E-17  0.1178E-14   0.000       14.42       5.000       1.000
          63   31.99       1.087      0.1366E+25  0.1745E+25  0.2140E+25  0.1809E+25  0.7197E-13  0.1288E-12  0.5251E-26  0.1202E-30  0.1398E-14  0.3501E-17  0.1394E-14  0.5683E-26   17.13       10.00       2.000
          64   35.11       1.093      0.1341E+25  0.1740E+25  0.2101E+25  0.1807E+25  0.7313E-13  0.1311E-12  0.5187E-25  0.1101E-29  0.1654E-14  0.3615E-17  0.1650E-14  0.5665E-25   17.13       5.000       1.000
          65   38.54       1.105      0.1317E+25  0.1737E+25  0.2055E+25  0.1802E+25  0.7447E-13  0.1335E-12  0.4229E-24  0.8331E-29  0.1956E-14  0.3752E-17  0.1952E-14  0.4669E-24   17.13       5.000       1.000
          66   42.29       1.121      0.1293E+25  0.1733E+25  0.2007E+25  0.1802E+25  0.7600E-13  0.1360E-12  0.3350E-23  0.6127E-28  0.2313E-14  0.3922E-17  0.2309E-14  0.3751E-23   20.34       10.00       2.000
          67   46.42       1.142      0.1269E+25  0.1732E+25  0.1961E+25  0.1816E+25  0.7778E-13  0.1386E-12  0.2025E-22  0.3438E-27  0.2733E-14  0.4142E-17  0.2729E-14  0.2309E-22   20.34       5.000       1.000
          68   50.94       1.172      0.1244E+25  0.1734E+25  0.1912E+25  0.1851E+25  0.7989E-13  0.1414E-12  0.1066E-21  0.1681E-26  0.3229E-14  0.4440E-17  0.3225E-14  0.1248E-21   24.14       9.000       2.000
          69   55.91       1.217      0.1219E+25  0.1743E+25  0.1864E+25  0.1920E+25  0.8243E-13  0.1442E-12  0.4901E-21  0.7189E-26  0.3811E-14  0.4855E-17  0.3807E-14  0.5959E-21   24.14       4.000       1.000
          70   61.36       1.283      0.1194E+25  0.1761E+25  0.1815E+25  0.2036E+25  0.8551E-13  0.1473E-12  0.1998E-20  0.2726E-25  0.4496E-14  0.5436E-17  0.4491E-14  0.2562E-20   24.14       4.000       1.000
          71   67.34       1.380      0.1169E+25  0.1795E+25  0.1769E+25  0.2210E+25  0.8926E-13  0.1504E-12  0.7304E-20  0.9275E-25  0.5304E-14  0.6250E-17  0.5298E-14  0.1008E-19   28.62       8.000       2.000
          72   73.91       1.516      0.1144E+25  0.1848E+25  0.1725E+25  0.2440E+25  0.9372E-13  0.1537E-12  0.2395E-19  0.2832E-24  0.6251E-14  0.7350E-17  0.6244E-14  0.3629E-19   28.62       4.000       1.000
          73   81.11       1.697      0.1120E+25  0.1925E+25  0.1685E+25  0.2716E+25  0.9893E-13  0.1571E-12  0.7121E-19  0.7839E-24  0.7368E-14  0.8795E-17  0.7359E-14  0.1208E-18   28.62       4.000       1.000
          74   89.02       1.929      0.1096E+25  0.2029E+25  0.1649E+25  0.3017E+25  0.1048E-12  0.1605E-12  0.1932E-18  0.1981E-23  0.8685E-14  0.1062E-16  0.8676E-14  0.3727E-18   33.92       8.000       2.000
          75   97.70       2.211      0.1073E+25  0.2159E+25  0.1617E+25  0.3319E+25  0.1113E-12  0.1639E-12  0.4810E-18  0.4588E-23  0.1024E-13  0.1283E-16  0.1023E-13  0.1063E-17   33.92       4.000       1.000
          76   107.2       2.538      0.1051E+25  0.2313E+25  0.1588E+25  0.3609E+25  0.1180E-12  0.1673E-12  0.1106E-17  0.9816E-23  0.1209E-13  0.1538E-16  0.1207E-13  0.2807E-17   40.19       8.000       2.000
          77   117.7       2.899      0.1031E+25  0.2487E+25  0.1561E+25  0.3875E+25  0.1249E-12  0.1706E-12  0.2367E-17  0.1951E-22  0.1428E-13  0.1822E-16  0.1425E-13  0.6861E-17   40.19       4.000       1.000
          78   129.2       3.285      0.1011E+25  0.2674E+25  0.1535E+25  0.4116E+25  0.1316E-12  0.1739E-12  0.4742E-17  0.3630E-22  0.1687E-13  0.2129E-16  0.1683E-13  0.1558E-16   40.19       4.000       1.000
          79   141.7       3.685      0.9929E+24  0.2866E+25  0.1509E+25  0.4332E+25  0.1379E-12  0.1771E-12  0.8965E-17  0.6370E-22  0.1995E-13  0.2451E-16  0.1989E-13  0.3303E-16   47.59       8.000       2.000
          80   155.6       4.088      0.9752E+24  0.3060E+25  0.1483E+25  0.4530E+25  0.1439E-12  0.1804E-12  0.1610E-16  0.1061E-21  0.2360E-13  0.2783E-16  0.2351E-13  0.6580E-16   47.59       4.000       1.000
          81   170.7       4.490      0.9577E+24  0.3250E+25  0.1457E+25  0.4712E+25  0.1493E-12  0.1837E-12  0.2761E-16  0.1689E-21  0.2792E-13  0.3122E-16  0.2776E-13  0.1240E-15   56.35       8.000       2.000
