LXCat, www.lxcat.net
Generated on XX Month XXXX. All rights reserved.

RECOMMENDED REFERENCE FORMAT
- BOLSIG+ solver ver. 03/2016, www.lxcat.net
- Phelps database, www.lxcat.net, retrieved on Month X, XXXX

DESCRIPTION
Swarm parameters were calculated here using BOLSIG+ solver for the numerical solution of
the Boltzmann equation for electrons in weakly ionized gases in uniform electric fields.

CONFIG
Tgas = 300 K
EEDF = non-Maxwellian

****************************************************************************************
*                                    BOLSIG+ OUTPUT                                    *
****************************************************************************************

BOLSIG+ version: 03/2016

 Transport coefficients
A1     Mean energy (eV)
A2     Mobility *N (1/m/V/s)
A6     Diffusion coefficient *N (1/m/s)
A11    Energy mobility *N (1/m/V/s)
A12    Energy diffusion coef. D*N (1/m/s)
A13    Total collision freq. /N (m3/s)
A14    Momentum frequency /N (m3/s)
A16    Total ionization freq. /N (m3/s)
A18    Townsend ioniz. coef. alpha/N (m2)
A20    Power /N (eV m3/s)
A21    Elastic power loss /N (eV m3/s)
A22    Inelastic power loss /N (eV m3/s)
A23    Growth power /N (eV m3/s)
A27    Maximum energy
A28    # of iterations
A29    # of grid trials
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29
           1  0.1000      0.7515E-01  0.8317E-14  0.3503E-16  0.1277E-19   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           2  0.1097      0.8045E-01  0.8863E-14  0.3667E-16  0.1963E-19   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           3  0.1205      0.8629E-01  0.9457E-14  0.3839E-16  0.3020E-19   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           4  0.1322      0.9264E-01  0.1010E-13  0.4016E-16  0.4621E-19   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           5  0.1451      0.9947E-01  0.1078E-13  0.4197E-16  0.6990E-19   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           6  0.1592      0.1067      0.1149E-13  0.4380E-16  0.1040E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           7  0.1748      0.1144      0.1223E-13  0.4563E-16  0.1518E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           8  0.1918      0.1223      0.1300E-13  0.4746E-16  0.2166E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
           9  0.2105      0.1306      0.1378E-13  0.4928E-16  0.3022E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          10  0.2310      0.1393      0.1458E-13  0.5109E-16  0.4123E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          11  0.2535      0.1483      0.1539E-13  0.5289E-16  0.5507E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          12  0.2783      0.1578      0.1623E-13  0.5471E-16  0.7212E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          13  0.3054      0.1679      0.1710E-13  0.5656E-16  0.9279E-18   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          14  0.3352      0.1787      0.1801E-13  0.5846E-16  0.1175E-17   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          15  0.3678      0.1904      0.1896E-13  0.6043E-16  0.1467E-17   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          16  0.4037      0.2031      0.1996E-13  0.6250E-16  0.1810E-17  0.5448E-27  0.2780E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          17  0.4431      0.2170      0.2102E-13  0.6469E-16  0.2209E-17  0.2755E-26  0.1584E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          18  0.4863      0.2323      0.2215E-13  0.6703E-16  0.2672E-17  0.1350E-25  0.8233E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          19  0.5337      0.2492      0.2334E-13  0.6955E-16  0.3207E-17  0.6669E-25  0.3908E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          20  0.5857      0.2678      0.2461E-13  0.7228E-16  0.3824E-17  0.3381E-24  0.1729E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          21  0.6428      0.2882      0.2595E-13  0.7526E-16  0.4536E-17  0.1722E-23  0.7453E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          22  0.7055      0.3105      0.2735E-13  0.7853E-16  0.5358E-17  0.8443E-23  0.3298E-26   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          23  0.7743      0.3345      0.2882E-13  0.8213E-16  0.6310E-17  0.3863E-22  0.3553E-25  0.5602E-27  0.1578E-29  0.9465E-32   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          24  0.8498      0.3603      0.3032E-13  0.8609E-16  0.7417E-17  0.1595E-21  0.1466E-24  0.2337E-26  0.6689E-29  0.3246E-31   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          25  0.9326      0.3875      0.3186E-13  0.9043E-16  0.8711E-17  0.5939E-21  0.5986E-24  0.8888E-26  0.2852E-28  0.1127E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          26   1.024      0.4159      0.3342E-13  0.9515E-16  0.1023E-16  0.1993E-20  0.2387E-23  0.3069E-25  0.1170E-27  0.4146E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          27   1.123      0.4452      0.3497E-13  0.1003E-15  0.1202E-16  0.6049E-20  0.9129E-23  0.9659E-25  0.4470E-27  0.1606E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          28   1.233      0.4749      0.3650E-13  0.1058E-15  0.1413E-16  0.1671E-19  0.3300E-22  0.2800E-24  0.1562E-26  0.6232E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          29   1.353      0.5047      0.3800E-13  0.1116E-15  0.1663E-16  0.4230E-19  0.1117E-21  0.7614E-24  0.4964E-26  0.2302E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          30   1.485      0.5342      0.3946E-13  0.1177E-15  0.1957E-16  0.9885E-19  0.3523E-21  0.1999E-23  0.1437E-25  0.7858E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          31   1.630      0.5632      0.4086E-13  0.1242E-15  0.2303E-16  0.2147E-18  0.1035E-20  0.5271E-23  0.3803E-25  0.2451E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          32   1.789      0.5915      0.4221E-13  0.1309E-15  0.2705E-16  0.4366E-18  0.2839E-20  0.1445E-22  0.9262E-25  0.6976E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          33   1.963      0.6188      0.4351E-13  0.1379E-15  0.3169E-16  0.8360E-18  0.7284E-20  0.4197E-22  0.2463E-24  0.1747E-25  0.1045E-28   0.000       0.000       0.000       0.000      0.2028E-30  0.6558E-35   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          34   2.154      0.6453      0.4475E-13  0.1451E-15  0.3699E-16  0.1516E-17  0.1751E-19  0.1244E-21  0.5385E-24  0.4561E-25  0.2345E-28   0.000       0.000       0.000       0.000      0.4898E-30  0.2123E-34   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          35   2.364      0.6708      0.4595E-13  0.1526E-15  0.4295E-16  0.2619E-17  0.3959E-19  0.3666E-21  0.1120E-23  0.1108E-24  0.5071E-28   0.000       0.000       0.000       0.000      0.1117E-29  0.6463E-34   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          36   2.595      0.6954      0.4710E-13  0.1605E-15  0.4955E-16  0.4329E-17  0.8449E-19  0.1042E-20  0.2257E-23  0.2518E-24  0.1079E-27   0.000       0.000       0.000       0.000      0.2424E-29  0.1826E-33   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          37   2.848      0.7192      0.4822E-13  0.1687E-15  0.5677E-16  0.6872E-17  0.1708E-18  0.2810E-20  0.4544E-23  0.5376E-24  0.2315E-27   0.000       0.000       0.000       0.000      0.5063E-29  0.4774E-33   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          38   3.126      0.7421      0.4931E-13  0.1774E-15  0.6450E-16  0.1052E-16  0.3282E-18  0.7131E-20  0.9520E-23  0.1087E-23  0.5147E-27   0.000       0.000       0.000       0.000      0.1038E-28  0.1157E-32   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          39   3.430      0.7642      0.5037E-13  0.1866E-15  0.7266E-16  0.1558E-16  0.6012E-18  0.1700E-19  0.2158E-22  0.2107E-23  0.1205E-26   0.000       0.000       0.000       0.000      0.2144E-28  0.2607E-32   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          40   3.765      0.7856      0.5141E-13  0.1965E-15  0.8111E-16  0.2238E-16  0.1054E-17  0.3815E-19  0.5331E-22  0.4012E-23  0.2969E-26   0.000       0.000       0.000       0.000      0.4610E-28  0.5501E-32   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          41   4.132      0.8063      0.5244E-13  0.2071E-15  0.8969E-16  0.3128E-16  0.1773E-17  0.8075E-19  0.1394E-21  0.7877E-23  0.7548E-26   0.000       0.000       0.000       0.000      0.1055E-27  0.1101E-31   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          42   4.535      0.8262      0.5345E-13  0.2186E-15  0.9826E-16  0.4265E-16  0.2872E-17  0.1619E-18  0.3697E-21  0.1715E-22  0.1937E-25   0.000       0.000       0.000       0.000      0.2579E-27  0.2150E-31   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          43   4.977      0.8454      0.5444E-13  0.2311E-15  0.1066E-15  0.5684E-16  0.4492E-17  0.3086E-18  0.9618E-21  0.4360E-22  0.4958E-25   0.000       0.000       0.000       0.000      0.6638E-27  0.4390E-31   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          44   5.462      0.8639      0.5542E-13  0.2449E-15  0.1147E-15  0.7421E-16  0.6806E-17  0.5615E-18  0.2412E-20  0.1257E-21  0.1281E-24   0.000       0.000       0.000       0.000      0.1784E-26  0.1045E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          45   5.995      0.8815      0.5638E-13  0.2599E-15  0.1223E-15  0.9511E-16  0.1001E-16  0.9794E-18  0.5788E-20  0.3799E-21  0.3497E-24   0.000       0.000       0.000       0.000      0.5099E-26  0.3131E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          46   6.579      0.8983      0.5732E-13  0.2765E-15  0.1294E-15  0.1199E-15  0.1435E-16  0.1644E-17  0.1327E-19  0.1128E-20  0.1076E-23   0.000       0.000       0.000       0.000      0.1638E-25  0.1171E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          47   7.221      0.9143      0.5824E-13  0.2948E-15  0.1358E-15  0.1488E-15  0.2008E-16  0.2664E-17  0.2914E-19  0.3187E-20  0.3817E-23   0.000       0.000       0.000       0.000      0.6190E-25  0.5380E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          48   7.925      0.9294      0.5914E-13  0.3150E-15  0.1416E-15  0.1823E-15  0.2750E-16  0.4185E-17  0.6152E-19  0.8503E-20  0.1501E-22   0.000       0.000       0.000       0.000      0.2781E-24  0.4186E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          49   8.697      0.9437      0.6002E-13  0.3373E-15  0.1467E-15  0.2207E-15  0.3694E-16  0.6389E-17  0.1246E-18  0.2110E-19  0.5862E-22   0.000       0.000       0.000       0.000      0.1266E-23  0.2965E-26   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          50   9.545      0.9571      0.6087E-13  0.3619E-15  0.1511E-15  0.2643E-15  0.4879E-16  0.9509E-17  0.2432E-18  0.4917E-19  0.2187E-21   0.000       0.000       0.000       0.000      0.5636E-23  0.2134E-25   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          51   10.48      0.9698      0.6171E-13  0.3891E-15  0.1548E-15  0.3134E-15  0.6345E-16  0.1383E-16  0.4586E-18  0.1079E-18  0.7601E-21   0.000       0.000       0.000       0.000      0.2357E-22  0.1435E-24   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          52   11.50      0.9814      0.6252E-13  0.4191E-15  0.1579E-15  0.3686E-15  0.8139E-16  0.1970E-16  0.8361E-18  0.2239E-18  0.2440E-20   0.000       0.000       0.000       0.000      0.9119E-22  0.8675E-24   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          53   12.62      0.9929      0.6332E-13  0.4522E-15  0.1604E-15  0.4301E-15  0.1031E-15  0.2753E-16  0.1478E-17  0.4420E-18  0.7270E-20   0.000       0.000       0.000       0.000      0.3272E-21  0.4714E-23   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          54   13.85       1.003      0.6410E-13  0.4889E-15  0.1623E-15  0.4983E-15  0.1291E-15  0.3780E-16  0.2528E-17  0.8303E-18  0.1991E-19   0.000       0.000       0.000       0.000      0.1071E-20  0.2241E-22   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          55   15.20       1.013      0.6489E-13  0.5297E-15  0.1638E-15  0.5738E-15  0.1600E-15  0.5108E-16  0.4207E-17  0.1499E-17  0.5128E-19   0.000       0.000       0.000       0.000      0.3292E-20  0.9739E-22   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
          56   16.68       1.023      0.6568E-13  0.5750E-15  0.1649E-15  0.6566E-15  0.1961E-15  0.6792E-16  0.6849E-17  0.2629E-17  0.1278E-18   0.000       0.000       0.000       0.000      0.9869E-20  0.4099E-21  0.1881E-25  0.4014E-25  0.1614E-24  0.5211E-25  0.1205E-25  0.9927E-26  0.5620E-26  0.1021E-25  0.3844E-26   0.000       0.000
          57   18.31       1.032      0.6647E-13  0.6254E-15  0.1656E-15  0.7479E-15  0.2384E-15  0.8910E-16  0.1071E-16  0.4361E-17  0.2817E-18   0.000       0.000       0.000       0.000      0.2535E-19  0.1371E-20  0.1410E-24  0.3165E-24  0.1284E-23  0.4339E-24  0.1028E-24  0.8534E-25  0.4970E-25  0.9175E-25  0.3622E-25   0.000       0.000
          58   20.09       1.040      0.6728E-13  0.6817E-15  0.1659E-15  0.8477E-15  0.2873E-15  0.1152E-15  0.1631E-16  0.7013E-17  0.5907E-18  0.8053E-26  0.1322E-26   0.000       0.000      0.6170E-19  0.4261E-20  0.9088E-24  0.2136E-23  0.8736E-23  0.3093E-23  0.7629E-24  0.6378E-24  0.3876E-24  0.7342E-24  0.3230E-24   0.000       0.000
          59   22.05       1.049      0.6811E-13  0.7448E-15  0.1658E-15  0.9572E-15  0.3435E-15  0.1472E-15  0.2422E-16  0.1093E-16  0.1169E-17  0.7533E-25  0.1344E-25   0.000       0.000      0.1402E-18  0.1200E-19  0.4915E-23  0.1208E-22  0.4976E-22  0.1835E-22  0.4650E-23  0.3908E-23  0.2440E-23  0.4691E-23  0.2166E-23   0.000       0.000
          60   24.20       1.058      0.6898E-13  0.8157E-15  0.1655E-15  0.1077E-14  0.4076E-15  0.1857E-15  0.3515E-16  0.1660E-16  0.2213E-17  0.8339E-24  0.1076E-24  0.4492E-26  0.6425E-26  0.3034E-18  0.3164E-19  0.2350E-22  0.6026E-22  0.2496E-21  0.9561E-22  0.2488E-22  0.2100E-22  0.1345E-22  0.2621E-22  0.1263E-22   0.000       0.000
          61   26.56       1.067      0.6990E-13  0.8953E-15  0.1649E-15  0.1208E-14  0.4803E-15  0.2316E-15  0.4982E-16  0.2453E-16  0.3989E-17  0.5830E-23  0.7383E-24  0.3734E-25  0.6271E-25  0.6191E-18  0.7685E-19  0.9706E-22  0.2590E-21  0.1078E-20  0.4280E-21  0.1143E-21  0.9684E-22  0.6346E-22  0.1253E-21  0.6277E-22   0.000       0.000
          62   29.15       1.076      0.7089E-13  0.9849E-15  0.1641E-15  0.1351E-14  0.5621E-15  0.2855E-15  0.6912E-16  0.3540E-16  0.6902E-17  0.3506E-22  0.4281E-23  0.2609E-24  0.5065E-24  0.1203E-17  0.1748E-18  0.3573E-21  0.9893E-21  0.4138E-20  0.1698E-20  0.4648E-21  0.3953E-21  0.2647E-21  0.5284E-21  0.2743E-21   0.000       0.000
          63   31.99       1.087      0.7197E-13  0.1086E-14  0.1632E-15  0.1507E-14  0.6536E-15  0.3479E-15  0.9387E-16  0.4991E-16  0.1149E-16  0.1844E-21  0.2142E-22  0.1585E-23  0.3788E-23  0.2238E-17  0.3751E-18  0.1191E-20  0.3414E-20  0.1433E-19  0.6071E-20  0.1701E-20  0.1452E-20  0.9917E-21  0.2000E-20  0.1071E-20  0.5251E-26   0.000
          64   35.11       1.093      0.7313E-13  0.1199E-14  0.1619E-15  0.1678E-14  0.7558E-15  0.4198E-15  0.1252E-15  0.6896E-16  0.1844E-16  0.8484E-21  0.9244E-22  0.8211E-23  0.2255E-22  0.3978E-17  0.7570E-18  0.3578E-20  0.1060E-19  0.4459E-19  0.1948E-19  0.5578E-20  0.4781E-20  0.3326E-20  0.6772E-20  0.3728E-20  0.5187E-25   0.000
          65   38.54       1.105      0.7447E-13  0.1327E-14  0.1607E-15  0.1864E-14  0.8696E-15  0.5017E-15  0.1640E-15  0.9347E-16  0.2863E-16  0.3473E-20  0.3515E-21  0.3737E-22  0.1168E-21  0.6792E-17  0.1449E-17  0.9856E-20  0.3008E-19  0.1268E-18  0.5704E-19  0.1667E-19  0.1435E-19  0.1015E-19  0.2086E-19  0.1176E-19  0.4229E-24   0.000
          66   42.29       1.121      0.7600E-13  0.1470E-14  0.1594E-15  0.2067E-14  0.9952E-15  0.5938E-15  0.2112E-15  0.1243E-15  0.4309E-16  0.1282E-19  0.1195E-20  0.1517E-21  0.5357E-21  0.1117E-16  0.2641E-17  0.2517E-19  0.7897E-19  0.3333E-18  0.1542E-18  0.4591E-19  0.3973E-19  0.2855E-19  0.5912E-19  0.3404E-19  0.3349E-23  0.1191E-26
          67   46.42       1.142      0.7778E-13  0.1630E-14  0.1583E-15  0.2288E-14  0.1133E-14  0.6963E-15  0.2674E-15  0.1624E-15  0.6287E-16  0.4257E-19  0.3631E-20  0.5499E-21  0.2173E-20  0.1769E-16  0.4580E-17  0.5938E-19  0.1912E-18  0.8073E-18  0.3839E-18  0.1162E-18  0.1012E-18  0.7373E-19  0.1539E-18  0.9017E-19  0.2024E-22  0.1152E-25
          68   50.94       1.172      0.7989E-13  0.1808E-14  0.1575E-15  0.2525E-14  0.1284E-14  0.8087E-15  0.3330E-15  0.2083E-15  0.8913E-16  0.1290E-18  0.1002E-19  0.1807E-20  0.7939E-20  0.2705E-16  0.7597E-17  0.1311E-18  0.4322E-18  0.1824E-17  0.8911E-18  0.2737E-18  0.2399E-18  0.1771E-18  0.3723E-18  0.2213E-18  0.1065E-21  0.1116E-24
          69   55.91       1.217      0.8243E-13  0.2001E-14  0.1574E-15  0.2777E-14  0.1445E-14  0.9296E-15  0.4079E-15  0.2624E-15  0.1227E-15  0.3577E-18  0.2523E-19  0.5407E-20  0.2623E-19  0.3992E-16  0.1204E-16  0.2710E-18  0.9135E-18  0.3847E-17  0.1932E-17  0.6009E-18  0.5306E-18  0.3965E-18  0.8393E-18  0.5044E-18  0.4893E-21  0.7778E-24
          70   61.36       1.283      0.8551E-13  0.2207E-14  0.1586E-15  0.3037E-14  0.1614E-14  0.1057E-14  0.4911E-15  0.3244E-15  0.1643E-15  0.9135E-18  0.5839E-19  0.1486E-19  0.7909E-19  0.5690E-16  0.1829E-16  0.5278E-18  0.1815E-17  0.7625E-17  0.3933E-17  0.1237E-17  0.1101E-17  0.8318E-18  0.1773E-17  0.1074E-17  0.1993E-20  0.4623E-23
          71   67.34       1.380      0.8926E-13  0.2422E-14  0.1615E-15  0.3300E-14  0.1786E-14  0.1186E-14  0.5805E-15  0.3933E-15  0.2138E-15  0.2164E-17  0.1252E-18  0.3780E-19  0.2196E-18  0.7842E-16  0.2666E-16  0.9738E-18  0.3411E-17  0.1428E-16  0.7570E-17  0.2401E-17  0.2157E-17  0.1645E-17  0.3534E-17  0.2150E-17  0.7281E-20  0.2386E-22
          72   73.91       1.516      0.9372E-13  0.2636E-14  0.1668E-15  0.3551E-14  0.1954E-14  0.1312E-14  0.6725E-15  0.4665E-15  0.2699E-15  0.4742E-17  0.2486E-18  0.8887E-19  0.5609E-18  0.1042E-15  0.3720E-16  0.1695E-17  0.6040E-17  0.2515E-16  0.1372E-16  0.4379E-17  0.3974E-17  0.3058E-17  0.6618E-17  0.4032E-17  0.2385E-19  0.1067E-21
          73   81.11       1.697      0.9893E-13  0.2838E-14  0.1750E-15  0.3779E-14  0.2109E-14  0.1428E-14  0.7627E-15  0.5407E-15  0.3305E-15  0.9677E-17  0.4602E-18  0.1945E-18  0.1327E-17  0.1337E-15  0.4979E-16  0.2799E-17  0.1013E-16  0.4193E-16  0.2354E-16  0.7552E-17  0.6923E-17  0.5368E-17  0.1172E-16  0.7124E-17  0.7079E-19  0.4201E-21
          74   89.02       1.929      0.1048E-12  0.3016E-14  0.1867E-15  0.3969E-14  0.2243E-14  0.1527E-14  0.8456E-15  0.6117E-15  0.3924E-15  0.1846E-16  0.7977E-18  0.3978E-18  0.2926E-17  0.1654E-15  0.6396E-16  0.4397E-17  0.1614E-16  0.6633E-16  0.3836E-16  0.1235E-16  0.1144E-16  0.8928E-17  0.1968E-16  0.1190E-16  0.1918E-18  0.1471E-20
          75   97.70       2.211      0.1113E-12  0.3159E-14  0.2017E-15  0.4107E-14  0.2346E-14  0.1603E-14  0.9165E-15  0.6755E-15  0.4519E-15  0.3298E-16  0.1299E-17  0.7626E-18  0.6022E-17  0.1977E-15  0.7891E-16  0.6578E-17  0.2447E-16  0.9967E-16  0.5946E-16  0.1916E-16  0.1794E-16  0.1409E-16  0.3140E-16  0.1880E-16  0.4764E-18  0.4608E-20
          76   107.2       2.538      0.1180E-12  0.3256E-14  0.2199E-15  0.4186E-14  0.2412E-14  0.1651E-14  0.9705E-15  0.7276E-15  0.5050E-15  0.5549E-16  0.1998E-17  0.1377E-17  0.1164E-16  0.2282E-15  0.9366E-16  0.9410E-17  0.3544E-16  0.1429E-15  0.8802E-16  0.2836E-16  0.2682E-16  0.2117E-16  0.4778E-16  0.2825E-16  0.1093E-17  0.1305E-19
          77   117.7       2.899      0.1249E-12  0.3306E-14  0.2406E-15  0.4204E-14  0.2440E-14  0.1672E-14  0.1007E-14  0.7667E-15  0.5492E-15  0.8828E-16  0.2917E-17  0.2351E-17  0.2124E-16  0.2553E-15  0.1074E-15  0.1291E-16  0.4919E-16  0.1960E-15  0.1249E-15  0.4017E-16  0.3837E-16  0.3040E-16  0.6962E-16  0.4051E-16  0.2333E-17  0.3369E-19
          78   129.2       3.285      0.1316E-12  0.3309E-14  0.2632E-15  0.4165E-14  0.2432E-14  0.1666E-14  0.1025E-14  0.7913E-15  0.5825E-15  0.1335E-15  0.4068E-17  0.3817E-17  0.3679E-16  0.2777E-15  0.1192E-15  0.1708E-16  0.6575E-16  0.2587E-15  0.1705E-15  0.5472E-16  0.5273E-16  0.4192E-16  0.9759E-16  0.5567E-16  0.4662E-17  0.8001E-19
          79   141.7       3.685      0.1379E-12  0.3270E-14  0.2868E-15  0.4077E-14  0.2392E-14  0.1638E-14  0.1026E-14  0.8019E-15  0.6044E-15  0.1931E-15  0.5447E-17  0.5924E-17  0.6082E-16  0.2944E-15  0.1286E-15  0.2187E-16  0.8504E-16  0.3298E-15  0.2252E-15  0.7200E-16  0.6996E-16  0.5576E-16  0.1322E-15  0.7371E-16  0.8789E-17  0.1764E-18
