001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003
0.0000000000000000E+000,0.0000000000000000E+000,0.1600000000000000E+006,0.1600000000000000E+006
0.1000000000000000E-009,0.0000000000000000E+000,0.1600010000000000E+006,0.1600010000000000E+006
