001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003
0.0000000000000000E+000,0.0000000000000000E+000,0.3200000000000000E+006,0.3200000000000000E+006
0.1000000000000000E-009,0.0000000000000000E+000,0.3200040000000000E+006,0.3200040000000000E+006
