"electrons"
9041079.40741765
59629847.9466435
318897359.56557
1386755111.67116
4921822718.92027
14328651200.882
34451325620.1997
69057517522.7547
116906033097.573
170097548139.228
217639790655.897
251804359711.763
271543047462.367
280711277624.656
284134607548.226
285162084369.011
285409948106.847
285458001470.261
285465487507.28
285466424511.201
285466518729.058
