001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
2.8E-07,8636,11342,11342,9468.51807903026,3.70939764863361E-17
2.9E-07,8603,11375,11375,9427.48465012946,3.98041031626039E-17
3E-07,8562,11416,11416,9429.04678470965,3.85178366188603E-17
3.1E-07,8527,11451,11451,9419.83121002742,3.73864153404806E-17
3.2E-07,8495,11483,11483,9412.13337298446,3.53278221392836E-17
3.3E-07,8464,11514,11514,9422.75433774446,3.50543382661291E-17
3.4E-07,8428,11550,11550,9413.89734461523,3.62409268380852E-17
3.5E-07,8400,11578,11578,9387.09104129189,3.55156327290398E-17
3.6E-07,8373,11605,11605,9387.13540098171,3.61922791618695E-17
3.7E-07,8346,11632,11632,9383.05486350659,3.32529013730393E-17
3.8E-07,8311,11667,11667,9361.7775716925,3.25876365810907E-17
3.9E-07,8286,11692,11692,9356.47442565035,3.68391691902521E-17
4E-07,8261,11717,11717,9350.5739907743,3.58666506487029E-17
4.1E-07,8235,11743,11743,9320.61727939331,3.41981952870661E-17
4.2E-07,8206,11772,11772,9331.40710840824,3.32828569173805E-17
4.3E-07,8176,11802,11802,9311.25227469618,3.43806253512385E-17
4.4E-07,8153,11825,11825,9310.10383119051,3.3518320514521E-17
4.5E-07,8125,11853,11853,9274.63921974765,2.91714975002901E-17
4.6E-07,8098,11880,11880,9257.28254400477,2.9023400373193E-17
4.7E-07,8080,11898,11898,9238.01874232455,3.25232337295245E-17
4.8E-07,8047,11931,11931,9226.70091401572,2.97825969412912E-17
4.9E-07,8020,11958,11958,9219.62903210978,2.7192116600665E-17
5E-07,7978,12000,12000,9203.17333302002,3.2838054050671E-17
5.1E-07,7950,12028,12028,9185.45008400481,3.00055028222957E-17
5.2E-07,7927,12051,12051,9193.38936938981,3.33757412183746E-17
5.3E-07,7891,12087,12087,9182.67864619632,2.97788351615717E-17
5.4E-07,7863,12115,12115,9171.36421160292,2.83633898925005E-17
5.5E-07,7837,12141,12141,9160.04316255062,2.81924553312884E-17
5.6E-07,7808,12170,12170,9158.76147238372,2.65163748872423E-17
5.7E-07,7785,12193,12193,9145.14905299252,2.65534327883215E-17
5.8E-07,7767,12211,12211,9133.82614478632,2.9390218893646E-17
5.9E-07,7740,12238,12238,9116.2695462494,2.81549228485702E-17
6E-07,7719,12259,12259,9091.86130524214,2.88132877227672E-17
6.1E-07,7694,12284,12284,9087.40699750162,2.56480146339368E-17
6.2E-07,7681,12297,12297,9088.82053840032,2.88304053876141E-17
