001-TIME,002-CollRate001+001,003-CollRate001+002,004-CollRate001+003,005-CollRate002+002,006-CollRate002+003,007-CollRate003+003,008-TotalCollRate,009-BackscatterCollRate001+003,010-ElecRelaxRate001+002-19.82,011-ElecRelaxRate001+002-20.61,012-Reaction001
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.8887599801088278E+253,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.2000000000000000E-008,0.0000000000000000E+000,0.6152200000000000E+014,0.2287500000000000E+013,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.6380950000000000E+014,0.1533000000000000E+013,0.2284500000000000E+013,0.2455500000000000E+013,0.1133656329456045E-014
