"ElectricFieldX","PowerDensityX-Spec01","ChargeDensity-Spec01","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.78504865e+02,8.79660939e+01,-5.67612143e-06,1,2.57607102e-02,2.57607102e-02,1.00000001e-01,1.00000001e-01
1.82856431e+02,9.14656803e+01,-5.67612473e-06,1,2.63890196e-02,2.63890196e-02,1.00000001e-01,1.00000001e-01
1.87208010e+02,9.49652771e+01,-5.67612803e-06,1,2.70173308e-02,2.70173308e-02,1.00000001e-01,1.00000001e-01
1.91559576e+02,9.84648635e+01,-5.67613133e-06,1,2.76456401e-02,2.76456401e-02,1.00000001e-01,1.00000001e-01
1.95911143e+02,1.01964450e+02,-5.67613463e-06,1,2.82739494e-02,2.82739494e-02,1.00000001e-01,1.00000001e-01
2.00262722e+02,1.05464047e+02,-5.67613792e-06,1,2.89022606e-02,2.89022606e-02,1.00000001e-01,1.00000001e-01
2.04614288e+02,1.08963633e+02,-5.67614122e-06,1,2.95305699e-02,2.95305699e-02,1.00000001e-01,1.00000001e-01
2.08963026e+02,1.13347034e+02,-5.67614536e-06,1,3.01588792e-02,3.01588792e-02,1.00000001e-01,1.00000001e-01
2.13307180e+02,1.19166654e+02,-5.67615085e-06,1,3.07871904e-02,3.07871904e-02,1.00000001e-01,1.00000001e-01
2.17651322e+02,1.24986257e+02,-5.67615634e-06,1,3.14154997e-02,3.14154997e-02,1.00000001e-01,1.00000001e-01
2.21995476e+02,1.30805877e+02,-5.67616184e-06,1,3.20438109e-02,3.20438109e-02,1.00000001e-01,1.00000001e-01
2.26339604e+02,1.36625462e+02,-5.67616733e-06,1,3.26721184e-02,3.26721184e-02,1.00000001e-01,1.00000001e-01
2.30683759e+02,1.42445082e+02,-5.67617283e-06,1,3.33004296e-02,3.33004296e-02,1.00000001e-01,1.00000001e-01
2.35027913e+02,1.48264703e+02,-5.67617832e-06,1,3.39287408e-02,3.39287408e-02,1.00000001e-01,1.00000001e-01
2.39372042e+02,1.54084288e+02,-5.67618382e-06,1,3.45570482e-02,3.45570482e-02,1.00000001e-01,1.00000001e-01
2.43716196e+02,1.59903908e+02,-5.67618931e-06,1,3.51853594e-02,3.51853594e-02,1.00000001e-01,1.00000001e-01
2.48060350e+02,1.65723528e+02,-5.67619480e-06,1,3.58136706e-02,3.58136706e-02,1.00000001e-01,1.00000001e-01
2.52404505e+02,1.71543148e+02,-5.67620030e-06,1,3.64419818e-02,3.64419818e-02,1.00000001e-01,1.00000001e-01
2.56748633e+02,1.77362734e+02,-5.67620579e-06,1,3.70702893e-02,3.70702893e-02,1.00000001e-01,1.00000001e-01
2.61092788e+02,1.83182354e+02,-5.67621129e-06,1,3.76986004e-02,3.76986004e-02,1.00000001e-01,1.00000001e-01
2.65436942e+02,1.89001974e+02,-5.67621678e-06,1,3.83269116e-02,3.83269116e-02,1.00000001e-01,1.00000001e-01
2.69781071e+02,1.94821560e+02,-5.67622227e-06,1,3.89552191e-02,3.89552191e-02,1.00000001e-01,1.00000001e-01
2.74125225e+02,2.00641180e+02,-5.67622777e-06,1,3.95835303e-02,3.95835303e-02,1.00000001e-01,1.00000001e-01
2.78469379e+02,2.06460800e+02,-5.67623326e-06,1,4.02118415e-02,4.02118415e-02,1.00000001e-01,1.00000001e-01
2.82813508e+02,2.12280386e+02,-5.67623876e-06,1,4.08401489e-02,4.08401489e-02,1.00000001e-01,1.00000001e-01
2.87157662e+02,2.18100006e+02,-5.67624425e-06,1,4.14684601e-02,4.14684601e-02,1.00000001e-01,1.00000001e-01
2.91501817e+02,2.23919626e+02,-5.67624975e-06,1,4.20967713e-02,4.20967713e-02,1.00000001e-01,1.00000001e-01
2.95845945e+02,2.29739212e+02,-5.67625524e-06,1,4.27250788e-02,4.27250788e-02,1.00000001e-01,1.00000001e-01
3.00190100e+02,2.35558832e+02,-5.67626073e-06,1,4.33533899e-02,4.33533899e-02,1.00000001e-01,1.00000001e-01
3.04534254e+02,2.41378452e+02,-5.67626623e-06,1,4.39817011e-02,4.39817011e-02,1.00000001e-01,1.00000001e-01
3.08878383e+02,2.47198038e+02,-5.67627172e-06,1,4.46100086e-02,4.46100086e-02,1.00000001e-01,1.00000001e-01
3.13216177e+02,2.54332252e+02,-5.67627847e-06,1,4.52383198e-02,4.52383198e-02,1.00000001e-01,1.00000001e-01
3.17549201e+02,2.62452419e+02,-5.67628615e-06,1,4.58666310e-02,4.58666310e-02,1.00000001e-01,1.00000001e-01
3.21882199e+02,2.70572537e+02,-5.67629384e-06,1,4.64949384e-02,4.64949384e-02,1.00000001e-01,1.00000001e-01
3.26215223e+02,2.78692704e+02,-5.67630153e-06,1,4.71232496e-02,4.71232496e-02,1.00000001e-01,1.00000001e-01
3.30548247e+02,2.86812871e+02,-5.67630921e-06,1,4.77515608e-02,4.77515608e-02,1.00000001e-01,1.00000001e-01
3.34881246e+02,2.94932989e+02,-5.67631690e-06,1,4.83798683e-02,4.83798683e-02,1.00000001e-01,1.00000001e-01
3.39214270e+02,3.03053156e+02,-5.67632459e-06,1,4.90081795e-02,4.90081795e-02,1.00000001e-01,1.00000001e-01
3.43547294e+02,3.11173322e+02,-5.67633227e-06,1,4.96364906e-02,4.96364906e-02,1.00000001e-01,1.00000001e-01
3.47880318e+02,3.19293489e+02,-5.67633996e-06,1,5.02648018e-02,5.02648018e-02,1.00000001e-01,1.00000001e-01
3.52213316e+02,3.27413608e+02,-5.67634765e-06,1,5.08931093e-02,5.08931093e-02,1.00000001e-01,1.00000001e-01
3.56546340e+02,3.35533774e+02,-5.67635533e-06,1,5.15214205e-02,5.15214205e-02,1.00000001e-01,1.00000001e-01
3.60879364e+02,3.43653941e+02,-5.67636302e-06,1,5.21497317e-02,5.21497317e-02,1.00000001e-01,1.00000001e-01
3.65212362e+02,3.51774059e+02,-5.67637070e-06,1,5.27780391e-02,5.27780391e-02,1.00000001e-01,1.00000001e-01
3.69545386e+02,3.59894226e+02,-5.67637839e-06,1,5.34063503e-02,5.34063503e-02,1.00000001e-01,1.00000001e-01
3.73878410e+02,3.68014393e+02,-5.67638608e-06,1,5.40346615e-02,5.40346615e-02,1.00000001e-01,1.00000001e-01
3.78211409e+02,3.76134511e+02,-5.67639376e-06,1,5.46629690e-02,5.46629690e-02,1.00000001e-01,1.00000001e-01
3.82544433e+02,3.84254678e+02,-5.67640145e-06,1,5.52912802e-02,5.52912802e-02,1.00000001e-01,1.00000001e-01
3.86877457e+02,3.92374844e+02,-5.67640914e-06,1,5.59195913e-02,5.59195913e-02,1.00000001e-01,1.00000001e-01
3.91210455e+02,4.00494963e+02,-5.67641682e-06,1,5.65478988e-02,5.65478988e-02,1.00000001e-01,1.00000001e-01
3.95543479e+02,4.08615129e+02,-5.67642451e-06,1,5.71762100e-02,5.71762100e-02,1.00000001e-01,1.00000001e-01
3.99876503e+02,4.16735296e+02,-5.67643220e-06,1,5.78045212e-02,5.78045212e-02,1.00000001e-01,1.00000001e-01
4.04209502e+02,4.24855414e+02,-5.67643988e-06,1,5.84328286e-02,5.84328286e-02,1.00000001e-01,1.00000001e-01
4.08542526e+02,4.32975581e+02,-5.67644757e-06,1,5.90611398e-02,5.90611398e-02,1.00000001e-01,1.00000001e-01
4.12875550e+02,4.41095748e+02,-5.67645525e-06,1,5.96894510e-02,5.96894510e-02,1.00000001e-01,1.00000001e-01
4.17197251e+02,4.50947950e+02,-5.67646461e-06,1,6.03177585e-02,6.03177585e-02,1.00000001e-01,1.00000001e-01
4.21515447e+02,4.61341489e+02,-5.67647448e-06,1,6.09460697e-02,6.09460697e-02,1.00000001e-01,1.00000001e-01
4.25833643e+02,4.71735027e+02,-5.67648435e-06,1,6.15743808e-02,6.15743808e-02,1.00000001e-01,1.00000001e-01
4.30151814e+02,4.82128504e+02,-5.67649422e-06,1,6.22026883e-02,6.22026883e-02,1.00000001e-01,1.00000001e-01
4.34470010e+02,4.92522042e+02,-5.67650410e-06,1,6.28309995e-02,6.28309995e-02,1.00000001e-01,1.00000001e-01
4.38788181e+02,5.02915519e+02,-5.67651397e-06,1,6.34593070e-02,6.34593070e-02,1.00000001e-01,1.00000001e-01
4.43106403e+02,5.13309119e+02,-5.67652384e-06,1,6.40876219e-02,6.40876219e-02,1.00000001e-01,1.00000001e-01
4.47424574e+02,5.23702596e+02,-5.67653372e-06,1,6.47159293e-02,6.47159293e-02,1.00000001e-01,1.00000001e-01
4.51742744e+02,5.34096073e+02,-5.67654359e-06,1,6.53442368e-02,6.53442368e-02,1.00000001e-01,1.00000001e-01
4.56060966e+02,5.44489673e+02,-5.67655346e-06,1,6.59725517e-02,6.59725517e-02,1.00000001e-01,1.00000001e-01
4.60379137e+02,5.54883150e+02,-5.67656333e-06,1,6.66008592e-02,6.66008592e-02,1.00000001e-01,1.00000001e-01
4.64697307e+02,5.65276627e+02,-5.67657321e-06,1,6.72291666e-02,6.72291666e-02,1.00000001e-01,1.00000001e-01
4.69015529e+02,5.75670227e+02,-5.67658308e-06,1,6.78574815e-02,6.78574815e-02,1.00000001e-01,1.00000001e-01
4.73333700e+02,5.86063704e+02,-5.67659295e-06,1,6.84857890e-02,6.84857890e-02,1.00000001e-01,1.00000001e-01
4.77651871e+02,5.96457181e+02,-5.67660282e-06,1,6.91140965e-02,6.91140965e-02,1.00000001e-01,1.00000001e-01
4.81970093e+02,6.06850781e+02,-5.67661270e-06,1,6.97424114e-02,6.97424114e-02,1.00000001e-01,1.00000001e-01
4.86288263e+02,6.17244258e+02,-5.67662257e-06,1,7.03707188e-02,7.03707188e-02,1.00000001e-01,1.00000001e-01
4.90606434e+02,6.27637734e+02,-5.67663244e-06,1,7.09990263e-02,7.09990263e-02,1.00000001e-01,1.00000001e-01
4.94924656e+02,6.38031335e+02,-5.67664232e-06,1,7.16273412e-02,7.16273412e-02,1.00000001e-01,1.00000001e-01
4.99242827e+02,6.48424811e+02,-5.67665219e-06,1,7.22556487e-02,7.22556487e-02,1.00000001e-01,1.00000001e-01
5.03561048e+02,6.58818411e+02,-5.67666206e-06,1,7.28839636e-02,7.28839636e-02,1.00000001e-01,1.00000001e-01
5.07879219e+02,6.69211888e+02,-5.67667193e-06,1,7.35122710e-02,7.35122710e-02,1.00000001e-01,1.00000001e-01
5.12197390e+02,6.79605365e+02,-5.67668181e-06,1,7.41405785e-02,7.41405785e-02,1.00000001e-01,1.00000001e-01
5.16515612e+02,6.89998965e+02,-5.67669168e-06,1,7.47688934e-02,7.47688934e-02,1.00000001e-01,1.00000001e-01
5.20816150e+02,7.02524425e+02,-5.67670363e-06,1,7.53972009e-02,7.53972009e-02,1.00000001e-01,1.00000001e-01
5.25115806e+02,7.15156471e+02,-5.67671568e-06,1,7.60255083e-02,7.60255083e-02,1.00000001e-01,1.00000001e-01
5.29415513e+02,7.27788668e+02,-5.67672773e-06,1,7.66538233e-02,7.66538233e-02,1.00000001e-01,1.00000001e-01
5.33715170e+02,7.40420714e+02,-5.67673978e-06,1,7.72821307e-02,7.72821307e-02,1.00000001e-01,1.00000001e-01
5.38014826e+02,7.53052761e+02,-5.67675183e-06,1,7.79104382e-02,7.79104382e-02,1.00000001e-01,1.00000001e-01
5.42314533e+02,7.65684957e+02,-5.67676389e-06,1,7.85387531e-02,7.85387531e-02,1.00000001e-01,1.00000001e-01
5.46614190e+02,7.78317004e+02,-5.67677594e-06,1,7.91670606e-02,7.91670606e-02,1.00000001e-01,1.00000001e-01
5.50913846e+02,7.90949050e+02,-5.67678799e-06,1,7.97953680e-02,7.97953680e-02,1.00000001e-01,1.00000001e-01
5.55213553e+02,8.03581246e+02,-5.67680004e-06,1,8.04236829e-02,8.04236829e-02,1.00000001e-01,1.00000001e-01
5.59513210e+02,8.16213293e+02,-5.67681209e-06,1,8.10519904e-02,8.10519904e-02,1.00000001e-01,1.00000001e-01
5.63812866e+02,8.28845339e+02,-5.67682414e-06,1,8.16802979e-02,8.16802979e-02,1.00000001e-01,1.00000001e-01
5.68112573e+02,8.41477536e+02,-5.67683620e-06,1,8.23086128e-02,8.23086128e-02,1.00000001e-01,1.00000001e-01
5.72412230e+02,8.54109582e+02,-5.67684825e-06,1,8.29369202e-02,8.29369202e-02,1.00000001e-01,1.00000001e-01
5.76711886e+02,8.66741629e+02,-5.67686030e-06,1,8.35652277e-02,8.35652277e-02,1.00000001e-01,1.00000001e-01
5.81011593e+02,8.79373825e+02,-5.67687235e-06,1,8.41935426e-02,8.41935426e-02,1.00000001e-01,1.00000001e-01
5.85311250e+02,8.92005871e+02,-5.67688440e-06,1,8.48218501e-02,8.48218501e-02,1.00000001e-01,1.00000001e-01
5.89610906e+02,9.04637918e+02,-5.67689646e-06,1,8.54501575e-02,8.54501575e-02,1.00000001e-01,1.00000001e-01
5.93910613e+02,9.17270114e+02,-5.67690851e-06,1,8.60784724e-02,8.60784724e-02,1.00000001e-01,1.00000001e-01
5.98210270e+02,9.29902161e+02,-5.67692056e-06,1,8.67067799e-02,8.67067799e-02,1.00000001e-01,1.00000001e-01
6.02509926e+02,9.42534207e+02,-5.67693261e-06,1,8.73350874e-02,8.73350874e-02,1.00000001e-01,1.00000001e-01
6.06809633e+02,9.55166403e+02,-5.67694466e-06,1,8.79634023e-02,8.79634023e-02,1.00000001e-01,1.00000001e-01
6.11109290e+02,9.67798450e+02,-5.67695671e-06,1,8.85917097e-02,8.85917097e-02,1.00000001e-01,1.00000001e-01
6.15408946e+02,9.80430496e+02,-5.67696877e-06,1,8.92200172e-02,8.92200172e-02,1.00000001e-01,1.00000001e-01
6.19705484e+02,9.93376451e+02,-5.67698113e-06,1,8.98483321e-02,8.98483321e-02,1.00000001e-01,1.00000001e-01
6.23982952e+02,1.00820475e+03,-5.67699535e-06,1,9.04766396e-02,9.04766396e-02,1.00000001e-01,1.00000001e-01
6.28260421e+02,1.02303304e+03,-5.67700957e-06,1,9.11049470e-02,9.11049470e-02,1.00000001e-01,1.00000001e-01
6.32537940e+02,1.03786152e+03,-5.67702380e-06,1,9.17332619e-02,9.17332619e-02,1.00000001e-01,1.00000001e-01
6.36815409e+02,1.05268981e+03,-5.67703802e-06,1,9.23615694e-02,9.23615694e-02,1.00000001e-01,1.00000001e-01
6.41092877e+02,1.06751811e+03,-5.67705224e-06,1,9.29898769e-02,9.29898769e-02,1.00000001e-01,1.00000001e-01
6.45370396e+02,1.08234658e+03,-5.67706646e-06,1,9.36181918e-02,9.36181918e-02,1.00000001e-01,1.00000001e-01
6.49647865e+02,1.09717488e+03,-5.67708069e-06,1,9.42464992e-02,9.42464992e-02,1.00000001e-01,1.00000001e-01
6.53925334e+02,1.11200318e+03,-5.67709491e-06,1,9.48748067e-02,9.48748067e-02,1.00000001e-01,1.00000001e-01
6.58202853e+02,1.12683165e+03,-5.67710913e-06,1,9.55031216e-02,9.55031216e-02,1.00000001e-01,1.00000001e-01
6.62480321e+02,1.14165995e+03,-5.67712335e-06,1,9.61314291e-02,9.61314291e-02,1.00000001e-01,1.00000001e-01
6.66757790e+02,1.15648824e+03,-5.67713758e-06,1,9.67597365e-02,9.67597365e-02,1.00000001e-01,1.00000001e-01
6.71035309e+02,1.17131672e+03,-5.67715180e-06,1,9.73880515e-02,9.73880515e-02,1.00000001e-01,1.00000001e-01
6.75312778e+02,1.18614501e+03,-5.67716602e-06,1,9.80163589e-02,9.80163589e-02,1.00000001e-01,1.00000001e-01
