  TIME     ,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-Pmean     ,008-Pmax     ,009-MeanFreePath     ,010-Reaction001     ,011-Reaction002      
    0.00000000000000E+000,    0.10000000000000E+006,    0.00000000000000E+000,    0.00000000000000E+000,    0.10000000000000E+006,    0.20000000000000E+006,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    0.10000000000000E-005,    0.10000000000000E+006,    0.00000000000000E+000,    0.00000000000000E+000,    0.10000000000000E+006,    0.20000000000000E+006,    0.30087069907158E+000,    0.72241212590070E+000,    0.18307834347938E-003,    0.43316905067126E-014,    0.00000000000000E+000 
