001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-nPart-Spec-005,007-NumDens-Spec-001,008-NumDens-Spec-002,009-NumDens-Spec-003,010-NumDens-Spec-004,011-NumDens-Spec-005
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.2497500000000000E+005,0.2497500000000000E+005,0.2000000000000000E+024,0.2000000000000000E+024,0.2000000000000000E+024,0.1000026587293452E+022,0.6010000265872934E+024
0.1000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4000000000000000E+003,0.4000000000000000E+003,0.2000000000000000E+024,0.2000000000000000E+024,0.2000000000000000E+024,0.1000026587293452E+022,0.6010000265872934E+024
0.2000000000000000E-011,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.4000000000000000E+003,0.4000000000000000E+003,0.2000000000000000E+024,0.2000000000000000E+024,0.2000000000000000E+024,0.1000026587293447E+022,0.6010000265872934E+024
