-0.00132000000000002.7246060625
-0.00021755102040822.700481016
0.00088489795918372.6762685135
0.00198734693877552.6519260266
0.00308979591836742.6274128336
0.00419224489795922.6026900181
0.00529469387755102.5777204709
0.00639714285714292.5524701294
0.00749959183673472.5269460324
0.00860204081632652.5012014058
0.00970448979591842.4752900574
0.01080693877551022.4492636001
0.01190938775510202.4231691069
0.01301183673469392.3970096722
0.01411428571428572.3707523361
0.01521673469387762.3443645565
0.01631918367346942.3178154465
0.01742163265306122.291075916
0.01852408163265312.2641416388
0.01962653061224492.2370568955
0.02072897959183672.2098700415
0.02183142857142862.1826260213
0.02293387755102042.1553390903
0.02403632653061222.1279934198
0.02513877551020412.1005726939
0.02624122448979592.0730615443
0.02734367346938782.0454477047
0.02844612244897962.0177401196
0.02954857142857141.9899586214
0.03065102040816331.9621222035
0.03175346938775511.9342485219
0.03285591836734691.9063410734
0.03395836734693881.8783868176
0.03506081632653061.8503725218
0.03616326530612251.8222859069
0.03726571428571431.7941240231
0.03836816326530611.7659017314
0.03947061224489801.7376352976
0.04057306122448981.7093400817
0.04167551020408161.6810303955
0.04277795918367351.6527117447
0.04388040816326531.6243774794
0.04498285714285721.5960204574
0.04608530612244901.5676340824
0.04718775510204081.5392123043
0.04829020408163271.5107527397
0.04939265306122451.4822652968
0.05049510204081631.4537621486
0.05159755102040821.4252545776
0.05270000000000001.3967477745
0.05380244897959191.3682370502
0.05490489795918371.3397171064
0.05600734693877551.3111831168
0.05710979591836741.2826309695
0.05821224489795921.2540622515
0.05931469387755101.2254835518
0.06041714285714291.1969011716
0.06151959183673471.1683208846
0.06262204081632661.1397451973
0.06372448979591841.1111703688
0.06482693877551021.0825922426
0.06592938775510201.0540071243
0.06703183673469391.0254130812
0.06813428571428570.9968134255
0.06923673469387750.9682123924
0.07033918367346940.9396138364
0.07144163265306120.9110212274
0.07254408163265300.8824361058
0.07364653061224490.8538557242
0.07474897959183670.8252770275
0.07585142857142850.7966974197
0.07695387755102030.7681147635
0.07805632653061220.7395280396
0.07915877551020400.7109413588
0.08026122448979580.6823605136
0.08136367346938770.6537905525
0.08246612244897950.6252340674
0.08356857142857130.5966877245
0.08467102040816320.5681476871
0.08577346938775500.5396109361
0.08687591836734680.511075301
0.08797836734693870.482541847
0.08908081632653050.4540158063
0.09018326530612230.4255020321
0.09128571428571410.3970045386
0.09238816326530600.368525673
0.09349061224489780.3400640076
0.09459306122448960.3116178308
0.09569551020408150.2831861876
0.09679795918367330.2547688794
0.09790040816326510.2263664648
0.09900285714285690.1979802586
0.10010530612244900.1696123323
0.10120775510204100.1412655143
0.10231020408163200.1129433893
0.10341265306122400.0846502989
0.10451510204081600.0563913412
0.10561755102040800.0281723711
0.10672000000000000

